title,description,creator,contributors,source,date,date is approximate,subject,location,latitude,longitude,identifier,rights,rightsstatement,type,format,format-original,language,file name,oclc number,date created,date modified,reference url,cdm-id,contentdm file name,contentdm file path,object-id
Max Davis,Portrait of Max Davis as a child,,"Davis, Ann",,1925-01-01,yes,portraits; children,United States -- Washington -- Whitman County -- Palouse,46.91021,-117.072536,CH_DavisA_045,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/333,333,334.jp2,/lcheritage/image/334.jp2,lcheritage333
"Max, Emma, and Roy Davis","Family portrait of Max, Emma, and Roy Davis",,"Davis, Ann",,1943-01-01,yes,portraits; families,United States -- Idaho -- Latah County -- Moscow,46.730564,-117.001344,CH_DavisA_046,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Library, Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/334,334,335.jp2,/lcheritage/image/335.jp2,lcheritage334
Roy Davis and horses with truck.,Roy Davis with horses and truck with Olive Pledger and his truck.,,"Davis, Ann",,1947-10-01,yes,horses; trucks,United States -- Idaho -- Latah County -- Potlatch,46.954996,-117.025294,CH_DavisA_040,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Library, Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/335,335,336.jp2,/lcheritage/image/336.jp2,lcheritage335
Dorothy Anderson Davis,Graduation picture of Dorothy Anderson,,"Davis, Ann",,1943-01-01,yes,portraits; women; graduates,United States -- Idaho -- Latah County -- Moscow,46.730518,-117.001523,CH_DavisA_047,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Library, Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/336,336,337.jp2,/lcheritage/image/337.jp2,lcheritage336
Max Davis graduation portrait,Graduation picture of Max Davis,,"Davis, Ann",,1943-01-01,yes,portraits; men; graduates,United States -- Idaho -- Latah County -- Moscow,46.730573,-117.001689,CH_DavisA_048,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Library, Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/337,337,338.jp2,/lcheritage/image/338.jp2,lcheritage337
Max Davis in uniform,Photograph of Max Davis joining Navy,,"Davis, Ann",,1944-08-06,,men; military personnel,United States -- Idaho -- Latah County -- Potlatch,46.93547,-117.032367,CH_DavisA_049,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Library, Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/338,338,339.jp2,/lcheritage/image/339.jp2,lcheritage338
Lloyd Tharp Navy Portrait,Portrait of Lloyd Tharp from when he enlisted with the Navy in 1943.,,"Davis, Ann",,1943-01-01,yes,portraits; military personnel,United States -- Idaho -- Latah County -- Potlatch,46.730535,-117.001747,CH_DavisA_051,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Library, Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/339,339,340.jp2,/lcheritage/image/340.jp2,lcheritage339
Max Davis Service Record,Record of service in Navy of Max Davis,,"Davis, Ann",,1946-05-15,,documents,United States -- Idaho -- Latah County -- Potlatch,46.920905,-116.901707,CH_DavisA_050,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Library, Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/340,340,341.jp2,/lcheritage/image/341.jp2,lcheritage340
Cement Man is Nocturnal Copper Etcher,"Daily News story on Llloyd Tharp, covering his hobby of copper etching and his daytime role as a cement worker with a contractor out of Moscow.",,"Davis, Ann",,1969-07-23,,articles; newspapers,United States -- Idaho -- Latah County -- Potlatch,46.940813,-117.023866,CH_DavisA_052,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Library, Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image; text,image/jpg,newspaper article,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/341,341,342.jp2,/lcheritage/image/342.jp2,lcheritage341
Byseggers and Davis harvest crew,"Headders at Work in Horse Heaven, tributary to Kennewick WA",Greevenslund,"Davis, Ann",,1905-01-01,yes,horses; fields,United States -- Washington -- Benton County -- Kennewick,46.094243,-119.547927,CH_DavisA_053,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/342,342,343.jp2,/lcheritage/image/343.jp2,lcheritage342
Potlatch Mercantile Company postcard,Postcard of the arrival of Potlatch Mercantile Company's new garage. A.A. McDonald is pictured inside a new Mitchell car.,,"Wolheter, John",,1916-10-01,,automobiles; postcards,United States -- Idaho -- Latah County -- Potlatch,46.921471,-116.899287,CH_WolheterJ_001,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/,image;Stillimage,image/jpg,postcard,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/343,343,344.jp2,/lcheritage/image/344.jp2,lcheritage343
"White Pine King on car in Potlatch, ID","Postcard of White Pine King on car, scaled 29,800 feet.",,"Wolheter, John",,1913-04-03,,picture postcards; railroads; lumber; whte pine,United States -- Idaho -- Latah County -- Potlatch,46.926169,-116.909054,CH_WolheterJ_004,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/,image;Stillimage,application/pdf,postcard,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/344,344,345.pdf,/lcheritage/image/345.pdf,lcheritage344
Interior view of the Potlatch Mercantile Company,Interior view of the Potlatch Mercantile Company furniture department,,"Wolheter, John",,1913-10-09,,mercantile buildings; chairs,United States -- Idaho -- Latah County -- Potlatch,46.921425,-116.899446,CH_WolheterJ_008,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/,image;Stillimage,application/pdf,postcard,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/345,345,346.pdf,/lcheritage/image/346.pdf,lcheritage345
Gold Hill Tower lookout,Postcard of Gold Hill Tower lookout with a couple standing at the top.,,"Wolheter, John",,1920-01-01,yes,picture postcards; towers,United States -- Idaho -- Latah County -- Potlatch,46.967853,-116.793283,CH_WolheterJ_006,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/,image;Stillimage,image/jpg,postcard,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/346,346,347.jp2,/lcheritage/image/347.jp2,lcheritage346
Goldie Clyde and her Sunday school class,Sunday School class pictured outside of old Union Church that burnt down. Goldie Clyde in the photo.,,"Wolheter, John",,1914-01-01,yes,children; churches,United States -- Idaho -- Latah County -- Potlatch,46.921468,-116.89504,CH_WolheterJ_002,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/347,347,348.jp2,/lcheritage/image/348.jp2,lcheritage347
Potlatch Lumber Company mill,A postcard of the Potlatch Lumber Company mill.,,"Wolheter, John",,1920-01-01,yes,picture postcards; lumber; mill,United States -- Idaho -- Latah County -- Potlatch,46.924157,-116.910541,CH_WolheterJ_005,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/,image;Stillimage,image/jpg,postcard,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/348,348,349.jp2,/lcheritage/image/349.jp2,lcheritage348
Selling force and delivery wagons of the Potlatch Mercantile Company,"A group portrait of the selling force and delivery wagons of the Potlatch Mercantile Company in Potlatch, ID.",,"Wolheter, John",,1913-01-01,yes,mercantile buildings; group portraits; men; women; horses; carts (transportation); streets,United States -- Idaho -- Latah County -- Potlatch,46.921568,-116.899468,CH_WolheterJ_014,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/349,349,350.jp2,/lcheritage/image/350.jp2,lcheritage349
Welch's Corner Texaco station,"Welch's Corner Texaco gas station, which is now the Grange Supply Cenex.",,"Wolheter, John",,1940-01-01,yes,automobiles; service stations,United States -- Idaho -- Latah County -- Potlatch,46.927116,-116.904348,CH_WolheterJ_007,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Library, Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,postcard,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/350,350,351.jp2,/lcheritage/image/351.jp2,lcheritage350
High school mens basketball team,Postcard of high school men's basketball team taken in front of the old gymnasium. The name Chuck Johnson is on the back.,,"Wolheter, John",,1920-01-01,yes,basketball; men,United States -- Idaho -- Latah County -- Potlatch,46.928879,-116.90258,CH_WolheterJ_003,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/,image;Stillimage,image/jpg,postcard,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/351,351,352.jp2,/lcheritage/image/352.jp2,lcheritage351
Strong homestead,"J.R. Strong and home on Deep Creek, northwest of Potlatch. Names read as subjects appear, left to right: McElroy, Alice; Alva; Mrs. J.R. Strong; Eaa Estes; Eunice Moak; J. R. Strong",,Gary Strong,Gary Strong,1891-04-01,yes,houses; families,United States -- Idaho -- Latah County -- Potlatch,47.034009,-116.903873,CH_StrongGE_001,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/352,352,353.jp2,/lcheritage/image/353.jp2,lcheritage352
Mr. and Mrs. E.S. Allen,Mr. and Mrs. Edward Smith Allen (Grandma Bertha Nirks parents),,Gary Strong,Gary Strong,1922-06-11,,couples,United States -- Idaho -- Latah County -- Potlatch,47.010499,-116.913816,CH_StrongGE_002,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/353,353,354.jp2,/lcheritage/image/354.jp2,lcheritage353
Strong Christmas family portrait from 1964,"Christmas Family portrait. Names read as subjects appear, left to right, front to back: Strong, Arthur Dwight; Strong, Cleora Anna; Strong, Linda Jean; Strong, Ellen """"Betsy"""" Elizabeth; Strong, Allen Dwight; Strong, Douglas Kerry; Strong, Donald Terry; Strong, Gary Eugene.","Cowin, Ted",Gary Strong,Gary Strong,1964-12-23,,portraits; families,United States -- Idaho -- Latah County -- Potlatch,46.983196,-116.93785,CH_StrongGE_007,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Library, Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/354,354,355.jp2,/lcheritage/image/355.jp2,lcheritage354
Nirk Family portrait,"The Nirk family portrait. Names read as subjects appear, left to right, front to back: Nirk, John Matthew; Allen, Bertha Clemina; Nirk, Durell Irwin.",,Gary Strong,Gary Strong,1900-01-01,yes,portraits; families,United States -- Idaho -- Latah County -- Potlatch,46.988251,-116.906252,CH_StrongGE_006,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Library, Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/355,355,356.jp2,/lcheritage/image/356.jp2,lcheritage355
Bysegger home place,"Fred (Gottsfried) Bysegger home place. The house at the foot of the hill is the first home. Pictured are the father and mother of the grandmother of the donor, and Emma, the sister of the grandmother.",,Gary Strong,Gary Strong,1900-01-01,yes,homestead; buildings; horses,United States -- Idaho -- Latah County -- Potlatch,47.022469,-116.910146,CH_StrongGE_009,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/356,356,357.jp2,/lcheritage/image/357.jp2,lcheritage356
Allen family portrait,"Family portrait for the Allen families. Names read as subjects appear, left to right, front to back: Springmire, Mary; Allen, Edward S.; Allen, Sopha Esther; Allen, Adelaide Teas; Allen, Frankie; Allen, Charley; Allen, Carrie Chamberlin; Nirk, Bertha; Allen, Olive Craig; Allen, Flora Price.",,Gary Strong,Gary Strong,1890-01-01,yes,portraits; families,United States -- Idaho -- Latah County -- Potlatch,47.034484,-116.903667,CH_StrongGE_008,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/357,357,358.jp2,/lcheritage/image/358.jp2,lcheritage357
Fred Bysegger family portrait,"Fred Bysegger and his family. Names read as subjects appear, left to right, front to back: Bysegger, Emma; Bysegger, Ida; Bysegger, Fred; Bysegger, Mary; Bysegger, Anna; Bysegger, Clara; Bysegger, Willie; Bysegger, Fred Jr.; Bysegger, John; Bysegger, Charley",,Gary Strong,Gary Strong,1900-01-01,yes,portraits; families,United States -- Idaho -- Latah County -- Potlatch,46.922063,-116.900828,CH_StrongGE_011,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/358,358,359.jp2,/lcheritage/image/359.jp2,lcheritage358
Family portrait,"Names read as subjects appear, left to right, front to back: Altemier, Grace; _, Charley; Allen, Charles, Mrs.; Reeve, Mary Ethel; Springmire, Mary; Allen, Wayne; Clarence, Beaulah Irvin.",,Gary Strong,Gary Strong,1915-01-01,yes,families,United States -- Washington -- Whitman County -- Garfield,47.008945,-117.141579,CH_StrongGE_003,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/359,359,360.jp2,/lcheritage/image/360.jp2,lcheritage359
Nirk-Bysegger-Allen-Strong family photo,Family portrait of the Nirk-Bysegger-Allen-Strong families,,Gary Strong,Gary Strong,1914-09-30,,portraits; families; houses,United States -- Idaho -- Latah County -- Potlatch,47.034459,-116.904069,CH_StrongGE_013,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/360,360,361.jp2,/lcheritage/image/361.jp2,lcheritage360
Strong family portrait,"The Strong family gathered for a portrait. Names read as subjects appear, left to right, front to back: Strong, Gary; Strong, Douglas; Strong, Donald; Strong, Allen; Strong, Dwight; Strong, Cleora.",,Gary Strong,Gary Strong,1954-01-01,yes,portraits; families,United States -- Idaho -- Latah County -- Potlatch,46.980038,-116.935743,CH_StrongGE_005,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Library, Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/361,361,362.jp2,/lcheritage/image/362.jp2,lcheritage361
Bysegger family portrait,"Lois, Will, and Eugene Bysegger standing in front of an unidentified house.",,Gary Strong,Arthur and Alice,1920-10-26,,houses; families,United States -- Idaho -- Latah County -- Potlatch,46.924756,-116.898154,CH_StrongGE_010,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/362,362,363.jp2,/lcheritage/image/363.jp2,lcheritage362
Philip Hearn military portrait,A military portrait of Philip Hearn before his service in World War II.,,Gary Strong,Gary Strong,1941-01-01,yes,military personnel; potraits,United States -- Idaho -- Latah County -- Potlatch,46.921475,-116.900921,CH_StrongGE_004,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Library, Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/363,363,364.jp2,/lcheritage/image/364.jp2,lcheritage363
Nirk-Bysegger family portrait,"Nirk Family portrait. Names read as subjects appear, left to right, front to back: Nirk, Larry; Nirk, Mary Anna Bysegger; Nirk, Durrell; Nirk, Irwin; Nirk, Norma Jean; Nirk, Gerold; Nirk, Leola; Nirk, Ronald; Nirk, Cleora; Nirk, Glen.",,Gary Strong,Gary Strong,1950-01-01,yes,portraits; families,United States -- Idaho -- Latah County -- Potlatch,46.922051,-116.900884,CH_StrongGE_012,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Library, Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/364,364,365.jp2,/lcheritage/image/365.jp2,lcheritage364
Ida Soncarty with Norman,Ida with baby son Norman.,,"Soncarty, Virginia",,1930-01-01,yes,families; infants,United States -- Idaho -- Latah County -- Elmore,47.028531,-116.886733,CH_SoncartyV_032,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Library, Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/365,365,366.jp2,/lcheritage/image/366.jp2,lcheritage365
Norman Soncarty in the Army,Norman Soncarty somewhere between South Carolina and Texas in the Army,,"Soncarty, Virginia",,1951-01-01,yes,armed forces; men,United States -- Oklahoma,46.921301,-116.901737,CH_SoncartyV_033,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Library, Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/366,366,367.jp2,/lcheritage/image/367.jp2,lcheritage366
Norman Soncarty with airplane,"Norman Soncarty was an airplane mechanic in the Army. This is his plane, """"Old 011""""",,"Soncarty, Virginia",,1953-01-01,yes,armed forces; men; airplanes,Korea,46.921515,-116.903431,CH_SoncartyV_034,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Library, Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/367,367,368.jp2,/lcheritage/image/368.jp2,lcheritage367
Edd Soncarty with sons,Edd with sons Lowell and Norman on horse-drawn tractor,,"Soncarty, Virginia",,1933-01-01,yes,horses; tractors,United States -- Idaho -- Latah County -- Elmore,47.028502,-116.887268,CH_SoncartyV_031,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Library, Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/368,368,369.jp2,/lcheritage/image/369.jp2,lcheritage368
Norman Soncarty in Korea,"Norman while in Korea, maybe in front of MASH.",,"Soncarty, Virginia",,1953-01-01,yes,armed forces; men; automobiles,Korea,46.922242,-116.903792,CH_SoncartyV_035,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Library, Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/369,369,370.jp2,/lcheritage/image/370.jp2,lcheritage369
Lowell Soncarty in Boise,Lowell Soncarty had an autoimmune condition that resulted in severe arthritis. Here he is in the Elks Rehabilitation facility in Boise. While there he learned accounting and when he returned to Latah County he worked as a CPA.,,"Soncarty, Virginia",,1963-01-01,yes,rehabilitation centers; men,United States -- Idaho -- Ada County -- Boise,43.614857,-116.192748,CH_SoncartyV_036,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Library, Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/370,370,371.jp2,/lcheritage/image/371.jp2,lcheritage370
Ida Soncarty in her garden,Ida Mithaldia Soncarty in her garden. The last picture of her in her garden taken by her granddaughter Trudy Soncarty.,,"Soncarty, Virginia",,1985-01-01,yes,gardens; women,United States -- Idaho -- Latah County -- Elmore,47.02814,-116.886897,CH_SoncartyV_037,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by Donor. For more information, please contact University of Idaho Library, Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-05-09,2017-05-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/371,371,372.jp2,/lcheritage/image/372.jp2,lcheritage371
