title,creator,date,location,lat-long,subject,description,collection,series,related-dataset,contributors,publisher,contributing-institution,language,iwrri-number,object-id,rights,rights-standardized,format,type,date-digital,digitization-specifications,metadata-cataloger,filename,cdm-id
Transport of granitic sediment in streams and its effects on insects and fish. Bulletin no. 17,"Bjornn, T. C.; Brusven, M. A.; Molnau, M. P.; Miligan, J. H.; Klamt, R. A.; Chacho, E.; Schaye, C.",1977-09,Knapp Creek,"44.42, -115.02",bed load; benthos; fish; sediment transport; population density,"We assessed the transport of granitic bedload sediment (< 6.35 mm diameter) in streams flowing through central Idaho mountain valleys and the effects of the sediment on juvenile salmonids and aquatic insects. We measured bedload sediment transported in the streams during the spring snowmelt runoff and the summer lowflow periods for 2 years, to test the applicability of the Meyer-Peter, Muller equation for estimating such transport. In both years the streams transported all the sediment available, including that under the armor layer of the stream bottom in the first year. The modified MeyerPeter, Muller equation proved accurate in estimating the transport capacity of such streams using measurements of slope, hydraulic radius and mean diameter of streambed material. In artificial stream channels, benthic insect density in fully sedimented riffles(> 2/3 cobble imbeddedness) was one-half that in unsedimented riffles, but the abundance of drifting insects in the sedimented channels was not significantly smaller. In a natural stream riffle, benthic insects were 1.5 times more abundant in a plot cleaned of sediment, with mayflies and stoneflies 4 and 8 times more abundant, respectively. Riffle beetles (Elmidae) were more abundant in the uncleaned plot. During both summer and winter, fewer fish remained in the artificial stream channels where sediment was added to the pools. The interstices between the large rocks in the pools provided essential cover necessary to maintain large densities of fish. Fish in sedimented channels exhibited hierarchical behavior, while those in unsedimented channels were territorial in behavior. In small natural pools ( 100 to 200 m^2 ), a loss in pool volume or in area deeper than 0.3 m from additions of sediment resulted in a proportional decrease in fish numbers. We did not, however, find significant correlations between riffle sedimentation and fish density in the two natural streams we studied. Fish abundance was significantly correlated with insect drift abundance in one stream, but not in the other. The amounts of sediment in the two streams studied did not have an obvious adverse effect on the abundance of fish or the insect drift on which they feed.",IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197701,iwdl-197701,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,356
Investigation of natural sealing processes in irrigation canals and reservoirs,"Brockway, Charles E.",1977-04,,,reservoir management; seepage; canal seepage; sediment transport; reservoir deposition; deposition rates,"Laboratory and field studies of physical, organic, and chemical factors affecting the variations in seepage rates due to natural processes in canals and reservoirs under prolonged submergence were performed.",IWRRI,Water for Idaho,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197702,iwdl-197702,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,357
"Water management and groundwater in the Henry's Fork--Upper Snake River Basin of Idaho. Research technical completion report, USCE Henry's Fork","Brockway, Charles E.; Grover, Kenneth P.",1977-06,Upper Snake River Basin,"46.11, -116.57",perched water table; groundwater; water table; water management; natural water table,"A water resource study of the Lower Henry's Fork area and the Upper Snake River Basin in Idaho was undertaken to evaluate the hydrological relationships between the perched and regional groundwater tables, river reach-gain and irrigation water management. Data on irrigation system diversions and return flow, cropping patterns and water use, and river flows were used to evaluate a basin water budget for the area. For the 1975 water year the net recharge from the study area to the Snake Plain regional aquifer is estimated to be 509,000 acre feet or approximately 8 percent of the tota 1 input to the aquifer. Manipulation of the perched water table to effect sub-irrigation in sandy soils on some areas of the basin requires canal diversions in excess of 11 acre feet per acre and causes rises in the water table of 2-40 feet over the season. A groundwater model of the perched system is being developed and will be integrated with the current model of the Snake River Fan aquifer to the south of the Henry's Fork.",IWRRI,Water for Idaho,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197703,iwdl-197703,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,358
The effects of availability of water on irrigation systems operations,"Worstell, James R.",1978-10-12,,,water demand; available water; irrigation efficiency,"Competition among users of Idaho's available water supplies will inevitably increase. This increase may be brought about in two ways. Primarily, an increased number of users for existing supplies of water will result in an increase in competition. On the other hand, a decrease in the amount of available water in existing supplies will also result in increased competition",IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197814,iwdl-197814,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,362
"Probably walleye (Stizostedion vitreum) habitation in the Snake River and tributaries of Idaho. Research technical completion report, project A-060-IDA","Bennett, David H.",1979-04,Snake River,"46.2, -116.96",walleye; predation; anadromous fish; salmonid,"Report of walleye in the lower Snake River has aroused concern over the possible expansion of populations into the upper Snake, Clearwater, and Salmon river systems. [...] At the present time, the squawfish is the major predator below dams and in the reservoirs. Walleye, however, are more voracious and efficient piscivorous feeders than squawfish and consequently, could intensify predation on emigrating juvenile salmonids which could contribute further to the decline of anadromous fishes in Idaho. For this reason, this study was initiated with the following objectives: 1. To review the historic impact of walleye on salmonid fishes; 2. To document the occurrence of walleye in the lower Snake River; and, 3. To complete a literature review of the ecological requirements of walleye.",IWRRI,Water for Idaho,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197902,iwdl-197902,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,363
"A dynamic regional impact analysis of federal expenditures on a water and related land resource project--the Boise Project of Idaho: Part V, environmental impacts. Research technical completion report, OWRT Title II project C-6276","Hultquist, John E.",1979-03,Boise Valley,"43.53, -116.34",watershed management; irrigation effects; water resources development,"This report is a general synthesis of the many issues regarding postproject environmental evaluation, using as a frame of reference the Boise Project of the Bureau of Reclamation. The report does not comprehensively summarize the existing literature for the area of an environmental nature or provide systematic analysis of ecological processes in the Boise River Valley. Additional issues and information, particularly focusing on hydrologic, economic, and social aspects of this Southwestern Idaho area in relation to the Project, are presented in several companion reports which collectively document the findings of the ""Boise Post-Audit Study"". A short description of the Boise Project begins on page four of the text and need not be reiterated here. A discussion of the structure of the report follows, however, to help explain the attempted synthesis",IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197910,iwdl-197910,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,364
Methodology for analysis of irrigation development that might have occurred without federal expenditure. Project C-6276,"Jawa, Daljit Singh",1977-01,Boise Valley,"43.53, -116.34",water supply development; water resources planning; economic efficiency,"One of the factors responsible for agricultural high production in the United States is the comprehensive irrigation system that has been developed for which much of the funds have come from federal expenditure. This treatise attempts to analyze, the possible outcomes in the absence of any federal support in this field, by means of a case study of a federally funded (Boise) project and its possible nonfederal alternatives. In this study a useful methodology of simultaneously combining hydrologic and water supply operations analyses with economic analysis of a water development project has been developed in accordance with 'The Principles and Standards' specified by U.S. Water Resources Council concerning evaluation of 'Conditions expected without' the federal expenditure. On the basis of comparison of engineering, economic and financial efficiencies of the historic irrigation development due to the federal Boise Project and four possible non-federal alternatives (with seven different variations of each), it has been demonstrated that the federal project was as good as any other non-federal alternative could possibly have been under the circumstances existing prior and during the period of study. Yet, there was a possibility of improving the economic efficiency up to 70% by delaying the installation of the Project or by using better expansion criteria.",IWRRI,Water for Idaho,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197911,iwdl-197911,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,365
"A dynamic regional impact analysis of federal expenditures on a water and related land resource project--the Boise Project of Idaho: Part I, direct economic impacts, economics subproject. Research technical completion report. OWRT Title II project C-6276","Long, Roger; Nelson, Terry; Hines, Gary",1979-03,Boise Valley,"43.53, -116.34",economic evaluation; benefit-cost analysis; irrigation design,"The Boise Project of Southwestern Idaho was built by the Bureau of Reclamation during the period from 1910 to 1956, at which time the irrigated acreage increased from 51,377 to 340,613 acres. This first report of the economic subproject brings together the relevant direct cost and return (benefit) information from the project. Since the public is often concerned about the economic justification for such a project, an effort is made to present the cost and return information in such a way as to indicate the public expenditures made in terms of tax dollars and the income benefits received in terms of value added. Benefit-cost ratios are presented in terms of value added (net income) per dollar of project cost for each year from 1910 to 1970. This measure of success (or failure) of the project varies from a negative $0.59 in 1932 to a positive $21.29. Prior to 1940, and especially during the depression years, the project was what one might consider a marginal economic success. After 1940 and the second World War, however, the above measure indicated each dollar of public funds expended were associated with about $5 in income to someone in the area. Obviously, the project also had secondary or indirect impacts on the region in which it was located -- these impacts will be identified and discussed in the second volume of this report. It should be emphasized that the numbers in this report (costs and returns) represent all the economic factors involved in the project and the subsequent irrigated crop production. No attempt has been made to allocate benefits to water, land, technology, or management. The income benefits of the project are the result of the use of all relevant inputs and should not be attributed to any one input (such as water). Income benefits are those associated with the economic activity resulting from the project.",IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197914,iwdl-197914,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,366
"A dynamic regional impact analysis of federal expenditures on a water and related land resource project--the Boise Project of Idaho: Part II, secondary ecomomic impacts of the Boise Project of Idaho, 1947-1970. Subproject completion report, OWR Title II project C-6276","Long, Roger B.; Potratz, Clarence J.",1979-03,Boise Valley,"43.53, -116.34",economic impact; economic growth; land development,"Briefly, the objectives of this study, specifically developed to help solve the above problem, were as follows: 1) Develop an aggregate regional economic model that would simulate the economies of the state and region; 2) Analyze the growth of the state, region, and the irrigation project through their economic inter-relationships in order to facilitate evaluation of the impact on income and output; 3) Evaluate the economic impact of the Boise Project on the Boise region and the state over time.",IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197915,iwdl-197915,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,367
"A dynamic regional impact analysis of federal expenditures on a water and related land resource project--the Boise Project of Idaho: Part III, economic scenario of the Boise Region 'without' a federal irrigation project. Research technical completion report, OWRT Title II project C-6276","Nelson, Terry L.; Warnick, Calvin C.; Potratz, Clarence J.",1979-03,Boise Valley,"43.53, -116.34",benefit-cost analysis; hydrologic models; economic efficiency,This analysis will focus on the following points: (1) Development of a hydrologic model capable of projecting crop production for the 'without' scenario. (2) Simulation of the regional economy 'without' the Project. (3) Estimation of indirect income derived from the Project. ( 4) Comparison of 'with' and 'without' conditions to determine benefits and costs attributable to the Project. (5) Demonstration of a methodology for determining the economic efficiency of the Project.,IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197918,iwdl-197918,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,368
"A dynamic regional impact analysis of federal expenditures on a water and related land resource project--the Boise Project of Idaho: Part IV, a social impact analysis of federal expenditures on a water related resource project: Boise Project. Research technical completion report, OWRT Title II project C-6276","Carlson, John E.; Sargent, Merle J.",1979-03,Boise Valley,"43.53, -116.34",social benefits; social impact; water resources planning,"Specific Objectives: 1. To develop methodology for measuring the social impacts of federal investments in water resource development projects. Then, using this methodology --- 2. To analyze the social system existing in the Boise region 'with project', 3. To analyze the social system in the region that might exist 'without project', 4. To use the information from objectives (2) and (3) in assessing changes in social well-being as a result of the development of the project with particular emphasis on comparison of the resulting changes with those anticipated during the initial planning stages of the project.",IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,197930,iwdl-197930,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,369
"A post audit evaluation of methodology for Wild and Scenic River development and management the Clearwater River, Idaho: a case study. Research technical completion report, project C-7511","Brooks, Robert O.",1980-08,Clearwater River,"46.49, -116.46",stream classification; river systems; streamflow,"The passage of the Wild and Scenic Rivers Act, PL 90-542, in 1968 created a national wild and scenic rivers systems which preserved selected freeflowing rivers in their relatively natural state. The Middle Fork of the Clearwater River from Kooskia, Idaho, upstream including the Lochsa and Selway rivers was one of the eight instant rivers in the system. A management plan was formulated for the middle Fork System which included boundaries of the wild and scenic corridor to regulate land uses. Questions arose as to the economic effects the restrictions, imposed by the Act and the scenic easement program, would have on the area's resources including land values. To answer these questions, data was collected on the area's major resources which include agriculture, timber, mining, and the scenic easement program. The results of the analysis showed that the classification of the Middle Fork of the Clearwater has not had any significant effect on any of the area's resources, except for the value of land encumbered with scenic easements. The restrictions imposed on the agricultural, timber, and mining resources have not and will not curtail their productive services or limit their growth.",IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,198001,iwdl-198001,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,370
"Conceptual models of interactions of mining and water resource systems in the southeastern Idaho phosphate field. Technical report, project C-7651","Cannon, Michael Ray",1980-03,Phosphoria Formation,"42.87, -111.98",mining; phosphates; mining wastes; water pollution sources,"Complex water resource systems occur within the southeastern Idaho phosphate field. Environmental factors such as the geologic, topographic, hydrogeologic, chemical, and climatic characteristics of the area largely control the occurrence, movement and quality of these water resource systems. Mining operations have the potential to impact the water resource systems through alteration of the existing environmental characteristics. At certain mine sites the water resource systems have the potential to interfere with mining operations through mine pit flooding and through pit and waste dump stability problems. Potential hydrogeologic impacts from mining and potential hydrologic limitations to mining are often difficult to predict because of the many variables involved.",IWRRI,Water for Idaho,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,198002,iwdl-198002,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,371
"Reconnaissance study of the ""Russell"" basalt aquifer in the Lewiston Basin of Idaho and Washington. Research technical completion report","Cohen, Philip Leon; Ralston, Dale",1980-04,Lewiston Basin,"46.42, -117.03",groundwater development; artesian aquifers; water supply; aquifers; groundwater,"The Lewiston Basin is a triangular-shaped bowl of approximately 400 mi. 2 (1000 km2) located in Northern Idaho and Eastern Washington. Within the basin, the two cities of Lewiston, Idaho, and Clarkston, Washington, have recently attained the status as a terminus for river barge traffic of the Columbia River. The purpose of this report is to investigate the ability of basalt aquifers beneath the two cities to sustain the present and anticipated future groundwater development.",IWRRI,Water for Idaho,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,198005,iwdl-198005,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,372
"Interactions between open mining and groundwater flow systems at the East Area of the Gay Mine, Idaho. Project report C-7651","Corbet, Jr., Thomas F.",1980-03,Gay mine,"43.09, -111.88",groundwater flow; geohydrolic boundaries; hydrologic systems,"Phosphate ore is mined from open pits at the Gay Mine, located 30 miles northeast of Pocatello, Idaho. Mining activity interacts with groundwater flow systems that are controlled primarily by complex fault block structure. Flooding of the pits by groundwater discharging from the Wells formation has seriously hindered mining operations. This report presents a conceptual model of groundwater flow systems to aid in the reduction of detrimental interactions between mining and water resource systems",IWRRI,Water for Idaho,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,198006,iwdl-198006,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,373
"Small hydro, some practical planning and design considerations","Gladwell, John Stuart",1980-04,,,hydroelectric power; energy sources; resources development,"In some areas of the world the importance of small hydro may not be quantitatively or yet economically advantageous to warrant its serious consideration at this time. But in many areas, even though the overall percentage of that guaranteed by small hydro may be small, its marginal value may be much greater. In some areas of the world hydro, particularly small hydro, offers a substantial and practical contribution to energy problems. Furthermore, because hydro systems are capital intensive relative to operational costs they tend to have built-in inflationary protection. Once built, the fuel -- river water-- is essentially free.",IWRRI,Water for Idaho,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,198007,iwdl-198007,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,374
"Legal, financial, and economic analysis of a water supply bank in Idaho. Research technical completion report, project B-047-IDA","Hofmann, Catherine A.; Wegman, Jerry; Damanpour, Faramarz",1980-08,,,water supply; legal aspects; bank storage,"In most areas of the United States the allocation of water is conducted according to legal rather than economic principles. Changes - economic, social, and technological - occur which require accommodation in the use and allocation of water to achieve the maximum economic value from the water supply. Water banking has evolved as a concept to facilitiate the flexibility of water use via market forces while recognizing existing legal water rights as secure property rights. Recognizing the inflexibility and inefficiency of water use and the constraints on water transfers in Idaho, the Idaho state legislature authorized the establishment of a Water Supply Bank to be operated by the Idaho Water Resource Board. This study explores the legal, financial, and economic feasibility of the Water Supply Bank in Idaho.",IWRRI,Water for Idaho,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,198012,iwdl-198012,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,375
Methodology for optimization of an irrigation system with storage reservoirs. OWRT matching grant project B-041-IDA,"Khanjani, Mohammad Javad",1980-08,,,irrigation efficiency; irrigation systems; economic efficiency,"A procedure was developed to specify optimal plans for an irrigation system with temporary internal storage. The procedure was used to develop plans for 1865 ha using farm service reservoirs. Daily potential and actual evapotranspiration for 25 years were computed. Probability distributions of patential and actual evapotranspiration for 1-30 days duration were estimated. A log-normal probability distribution was found to best fit the data, and probability equations for different durations were computed. These distributions were used to determine possible irrigation intervals for different crops growing in different soil types. Costs of different types of irrigation subsystem cornponents were computed including canal sections, farm service reservoirs, pumps, and sprinkler and gravity application subsystems. A marginal cost and benefit analysis was used to select the best irrigation intervals for all soil-crop cornbinations. The time of occurrence of maximum evapotranspiration for each crop was analyzed and found to follow a log-normal distribution. The peak water requirement of each crop was Xlll computed to determine the peak water requirement of each subunit within the study area. Water-use information was used to compute the volume of interval storage needed within the system. Fifteen farm service reservoirs were located at 15 specified sites by considering physical conditions and other restrictions. Costs and design capacities of farm service reservoirs and canal sections of the system were computed. By utilizing a mixed integer programming model, the locations of farm service reservoirs were optimized; and seven of the original 15 farm service reservoir sites were selected. A linear programming model was then used to compute the optimum capacity of each farm service reservoir, and parametric programming was used to examine the effects of varying water costs of system configuration. The cost and design capacity of the irrigation system with seven farm service reservoirs was computed. The total cost was 32% less than the cost of the irrigation system with the 15 original proposed farm service reservoirs.",IWRRI,Water for Idaho,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,198013,iwdl-198013,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,376
"Groundwater flow systems in the phosphate sequence Caribou County, Idaho. Technical report, project C-7651","Winter, Gerry Vernon",1980-03,Phosphoria Formation,"42.66, -111.29",groundwater flow; groundwater discharge; flow system,"It is concluded from this study that the platy siltstone and black limestone members of the Thaynes Formation, the upper and lower members of the Dinwoody Formation and the Wells Formation all have sufficient hydraulic conductivity to allow these formations to support ground water flow systems. The Rex Chert Member of the Phosphoria Formation also has the potential to support aground water flow system but it does not exhibit a uniform hydraulic conductivity through out the area. It may or may not support such a flow system. Neither the cherty shale nor the Meade Peak Phosphatic Shale Members of the Phosphoria Formation exhibit sufficient hydraulic conductivity to permit the existence of a significant ground water flow system. The ground water flow system characteristics of the phosphate sequence are consistent throughout the study area except for the Rex Chert Member of the Phosphoria Formation",IWRRI,Water for Idaho,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,198019,iwdl-198019,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,377
Geothermal evaluation of the thrust zone in southeastern Idaho. Research technical completion report,"Ralston, Dale R.",1981-04,Meade Thrust,"42.97, -111.46",geothermal studies; groundwater flow; thermal water,This report presents the initial results of a regional study of geothermal flow systems in the thrust zone of Idaho and Wyoming. The study involved analysis of thermal and non-thermal ground water flow systems based upon hydrogeologic and hydrochemical data collection and interpretation. Particular emphasis was placed on analyzing the role that the thrust zones play in controlling the movement of thermal and non-thermal fluids.,IWRRI,Water for Idaho,,"Idaho Water Resources Research Institute; IWRRI; Arrigo, John L.; Baglio, Jr., Joseph V.; Hubbell, Joel M.; Souder, Karl; Mayo, Alan",University of Idaho,University of Idaho,eng,198107,iwdl-198107,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,378
"Weather and consumptive use in the Bear River Basin, Idaho during 1982. Research technical completion report, project A-076-IDA","Allen, R. G.; Brockway, C. E.",1982-12,Bear River Basin,"42.23, -111.26",weather data collection; consumptive use; soil moisture,"Temporary weather stations located in the western portion of the Bear River basin in southeastern Idaho were monitored during the 1982 growing season. Hourly measurements of solar radiation, wind travel, air temperature and dewpoint temperature were recorded. Solar radiation in the area was similar to measurements at Logan, Utah and Kimberly, Idaho during the same period. Measured wind travel and air temperatures in the Bear River basin varied with site location. Consumptive use estimated for crops around each of three weather sites was compared to soil moisture depletion measured with a neutron probe. Consumptive use methods evaluated included the Wright-1982, FAO-Blaney-Criddle, Jensen-Raise, SCS-Blaney-Criddle and a regional aridity approach to estimating consumptive use reported by Morton (1976) and Brutsaert and Stricker (1979). Performance of consumptive use methods depended on whether crops were irrigated or dryland crops.",IWRRI,,,Idaho Water and Energy Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,198202,iwdl-198202,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,379
"Experience curves for feasibility studies and planning of modern low-head hydro turbines. Research technical completion report, project A-077-IDA","Kpordze, C. S. K.; Warnick, C. C.",1982-12,,,hydroelectric power; turbines; hydroelectric plants,"This report contains the results of an extensive investigation of the characteristics of over two hundred low-head turbines manufactured all over the world that have been installed or that are due to be installed in hydropower plants between 1953 and 1984. The research focused mainly on bulb turbines, with horizontal shaft arrangement and tubular turbines with their shafts either horizontal or inclined at an angle to the horizontal. The characteristics of the other types of low-head turbines are not presented because adequate data could not be collected on their characteristics during this study period. The characteristics on bulb and tubular turbines are presented in the form of statistical diagrams and regression equations suitable for preliminary design and feasibility studies of low-head hydro projects. Nomographs have been developed for displaying the relationships between the various turbine characteristics and comparing the important dimensions and parameters of turbines which have found common application in the hydro-power technology. New simplified parametric ratio for selection of turbines have been developed that should expedite preliminary selection study for hydropower projects.",IWRRI,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,198211,iwdl-198211,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,380
"Preliminary assessment of ground water management alternatives for Idaho. Technical completion report, A-078-IDA","Ralston, Dale R.; duPont, Suzie",1982-12,,,overdraft; groundwater basins; groundwater development,"Many if not most of Idaho's ground water basins may be presently pumped at rates that exceed natural recharge. The general objective of this project is to provide a preliminary assessment of alternative management schemes for problems of overdraft of ground water basins. Four study basins were selected to represent the range of ground water development problems and the various stages of present resource management. Ground water development in the Moscow Basin has resulted in a steady rate of water level decline in what is likely a ''mining'' situation. Local areas of water level decline have resulted from recent development of ground water in the Mountain Home area. A portion of this area is presently declared critical under present statutes. Water levels are slowly declining in the Camas Prairie area as a result of changing from dry land to irrigated agriculture. Impacts from pumpage in this area may interfere with prior downstream surface water rights. The Raft River Basin was declared critical in 1963. Impacts from ground water development include more than 100 feet of water level decline and some indications of land subsidence. Management factors have been divided into three groups: hydrologic, development and legal guidelines. Hydrologic factors of importance to management are the water level response of a basin to pumpage and the effects that water level declines have on recharge and discharge amounts. The development factors, the pumpage rate in relation to recharge, the depth to water and annual rate of decline and the potential for increased pumpage. The important legal guidelines are limits on adverse impacts on other users, a no-mining limit on pumpage and a limit on reasonable pumping lifts. A basin classification system has been presented as a first step in a state wide management program. The classification system includes four factors reflecting management factors.",IWRRI,Water for Idaho,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,198213,iwdl-198213,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2012,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",wbv,,381
