title,creator,description,date,subject,source,ids,publisher,format-original,type,format,location,latitude,longitude,object-id
Quick reference notes on water resources development,"Curtis, Bert [?]",Notes on the history of the development of water resources in the Northwest. Also includes data on the Bruce's Eddy Project.,7/16/1954,"bert curtis; Bruces Eddy; Corps of Engineers; Water Resources;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7b-014,,,text,application/pdf,Dworshak Dam (Idaho),,,264
Biography of Paul H. Symbol,,Notes on the life of Colonel Paul H. Symbol.,5/16/1960,"Symbol, Paul H.;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7b-028,,,text,application/pdf,Dworshak Dam (Idaho),,,358
Bruce's Eddy notes,,Notes on the use of various reservoirs,5/24/1958,"bert curtis; Shasta Lake Reservior; Lake Mead Reservior;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7b-027,,,text,application/pdf,Dworshak Dam (Idaho),,,355
Random Observations,"Curtis, Bert [?]","Notes on various aspects of the Bruce's Eddy Project [?]; including, notes on the reservoir, power capacity, and flood control",11/21/1963,Bruces Eddy;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7b-038,,,text,application/pdf,Dworshak Dam (Idaho),,,415
Notes on history of Dent area,"Curtis, Bert",Notes written by Bert Curtis on the history of the Dent area.,3/8/1955,"bert curtis; Dent, Idaho","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7b-001,,,text,application/pdf,Dworshak Dam (Idaho),,,211
A letter to Loe Gudda,"Gudda, Ole; Curtis, Bert",Ole Gudda requests information from Bert Curtis regarding Bruces Eddy; Curtis explains the benefits of the Bruces Eddy Project,7/26/1957,"bert curtis; Bruces Eddy;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-043,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,105
State Game Commission To Oppose Dams on Snake,Bill Hulen,Opposition to the construction of proposed dams on the Snake river,11/15/1953,Construction; Snake River;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-101,The Oregonian,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,923
Outdoor recreation resources review commission: What it is and Does,ORRRC,"Outdoor recreation resources review commission.  List of Chairmen.  Discussion of future outdoor recreation.  Two majority and two minority members of the Senate. Congress directed commission to prepare a 'nationwide inventory of outdoor recreation'. List of Congress Officers. Dwight D. Eisenhower quote.",3/15/1960,ORRRC; Outdoor Recreation Resources Review Commission;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-1a-002,ORRRC,Brochure,text,application/pdf,Dworshak Dam (Idaho),,,1125
Snake River is Best Bet,,Pacific Northwest interests that clash over what form the water resource development in the Snake River,7/1/1958,Dam; Snake River;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-067,,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,857
Letter to Bert Curtis,"Patterson, Robert G.",Patterson sends curtis some information on behalf of the Latah County Chamber of Commerce,4/29/1963,"bert curtis; Bruces Eddy; Latah County Chamber of Commerce;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7b-031,,,text,application/pdf,Dworshak Dam (Idaho),,,379
A letter from Gracie Pfost,"Pfost, Gracie",Pfost expresses confidence that Bruces Eddy will be approved,6/19/1962,"Pfost, Gracie; bert curtis; Bruces Eddy; McNichols, Ray;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-052,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,133
Correspondence between  Ray McNichols and Gracie Pfost,"McNichols, Ray; Pfost, Gracie",Pfost gives McNichols an account of the progress of the Bruces Eddy Project; A letter expressing encouragement at the progress of Bruces Eddy,6/18/1962,"Curtis, Bruce; Bruces Eddy; Swayne and McNichols;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-051,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,131
Pfost Says Vote Doesn't Mean End of Road for High Dam Bill,,Pfost Says Vote Doesn't Mean End of Road for High Dam Bill,6/3/1958,Dam; Bill;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-066,Lewiston Morning Tribune,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,855
Dworshak Dam Project 131 (Dworshak site),"Curtis, A.B. Orofino","Photograph at Dworshak site, a footbridge takes men across the river to the gravel operation.",1965, footbridge; gravel,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03678,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.515758,-116.298196,623
Dworshak Dam Project 163 (dicersion tunnel),"Curtis, A.B. Orofino","Photograph looking down at the river and diversion tunnel on August 11, 1966.",8/11/1966,  August; diversion tunnel; river,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03870,,color photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,657
Dworshak Dam Project 98 (coffer dam),"Curtis, A.B. Orofino","Photograph looking downsteam - the coffer dam, diversion tunnel & base of dam.",1969,  coffer dam; tunnel,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00849,,color photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,585
Dworshak Dam Project 100 (dam base),"Curtis, A.B. Orofino",Photograph looking into the base of the dam from downstream.,1969,  base;,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00851,,color photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.513913,-116.297579,587
Dworshak Dam Project 169 (dam site),"Curtis, A.B. Orofino",Photograph looking right straight at the dam site from the south side of the river.  Blasting operation for foundation of dam is marked with X.  Flood light for night work is circled.,1966, dam site; blasting; flood light,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03876,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.515758,-116.298196,664
Dworshak Dam Project 149 (diversion tunnel),"Curtis, A.B. Orofino",Photograph looking straight at the lower end of diversion tunnel.  The floating logs come through the 40' bore.,1966,  diversion tunnel; logs,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03726,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,642
Dworshak Dam Project 89 (batch plant),"Curtis, A.B. Orofino","Photograph looking straight down on the job.  Showing the batch plant, crushed rock & tops of the cable towers.",1968,  batch plant; crushed rock; cable towers; concrete,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00840,,color photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.518638,-116.298995,575
Dworshak Dam Project 107 (Brush Rake),"Curtis, A.B. Orofino",Photograph of a brush rake fitted to a bulldozer.  This is the exact kind of rake worked out by CTPA and used for piling log slash.  The contractor here adapted his for larger equipment.,1964,  land clearing; pool area; bulldozer; brush rake; contractor,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03138,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,594
Dworshak Dam Project 134 (diversion tunnel),"Curtis, A.B. Orofino",Photograph of a couple of workers who work on the diversion tunnel.,1965,  diversion tunnel; workers,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03694,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,627
Dworshak Dam Project 132 (Dworshak site),"Curtis, A.B. Orofino",Photograph of a gravel and rock operation at the site.,1965, gravel,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03679,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.515758,-116.298196,625
Dworshak Dam Project 152 (dam site),"Curtis, A.B. Orofino",Photograph of a view of the dam site in 1966.,1966,  dam site,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03729,,color photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.515758,-116.298196,645
Dworshak Dam Project 166 (Dam site),"Curtis, A.B. Orofino",Photograph of blasting out material at dam site.,1966,  dam site; blasting,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03873,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.515758,-116.298196,661
Dworshak Dam Project 110 (cleared area),"Curtis, A.B. Orofino",Photograph of clearing at the site to prepare for construction.  On top side you see fine new Army road completed into top of dam site and lower along the lower side of photo you see the original old road that went up the river.  It now goes to the base of the dam.  All material was taken from the site down to 2' in diameter and 2-3 ft. long.  Had to be burned or removed from area.,1964,  land clearing; road,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03142,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,598
Dworshak Dam Project 113 (cleared area),"Curtis, A.B. Orofino",Photograph of clearing at the site.  Upper center you will note sort of a clearing belt.  Below this belt all merchantable timber was removed to about 200 ft. down in elevation.  Below that point growing trees were left since they will always be under water.  All material that floats is taken out for burning.,1964,  land clearing,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03145,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,601
Dworshak Dam Project 140 (clearing operations),"Curtis, A.B. Orofino",Photograph of clearing operations.,1966,  clearing operations,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03717,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,633
Dworshak Dam Project 141 (clearing operations),"Curtis, A.B. Orofino",Photograph of clearing operations.,1965,  clearing operations,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03718,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,638
Dworshak Dam Project 182 (pool area),"Curtis, A.B. Orofino",Photograph of clearing the pool area in August.,1967,  pool area,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-04032b,,color photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,678
Dworshak Dam Project 183 (pool area),"Curtis, A.B. Orofino",Photograph of clearing the pool area in August.,1967,  pool area,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-04032c,,color photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,679
Dworshak Dam Project 184 (pool area),"Curtis, A.B. Orofino",Photograph of clearing the pool area in August.,1967,  pool area,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-04032d,,color photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,680
Dworshak Dam Project 111 (cleared area),"Curtis, A.B. Orofino",Photograph of clearing the site.,1964,  land clearing,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03143,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,599
Dworshak Dam Project 112 (cleared area),"Curtis, A.B. Orofino",Photograph of clearing work at the site.  A machine can be seen going up the steep hillside.  The little piles of refuse will be burned.  First all merchantable timber was removed.,1964,  land clearing,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03144,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,600
Dworshak Dam Project 165 (coffer dam),"Curtis, A.B. Orofino",Photograph of Coffer dam fill material.,1966,  Coffer dam; gravel,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03872,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,659
Dworshak Dam Project 109 (cleared area),"Curtis, A.B. Orofino","Photograph of Elk Creek.  This area being cleared is about 12 miles up the North Fork of Clearwater River.  The Association had an inspector on the job to see tha all fire laws were respected, made safety inspection, ect.  The Army Corps of Engineers paid for inspectors and patrols.  Ralph Space was one of the inspectors.",1964,  land clearing; Elk Creek; Clearwater River,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03141,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,597
Dworshak Dam Project 135 (diversion tunnel),"Curtis, A.B. Orofino","Photograph of inside of the diversion tunnel, which is 40' in diameter, concrete lined.  Here we see the workmen putting up steel reinforcements, for concrete line.",1965,  diversion tunnel; bulldozer; steel reinforcement,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03695,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,628
Dworshak Dam Project 136 (diversion tunnel),"Curtis, A.B. Orofino","Photograph of interior of the diversion tunnel, which is 40' in diameter.  You can see the airlines and exhaust facilities.",1965,  diversion tunnel; airlines; exhaust,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03701,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,629
Dworshak Dam Project 180 (Elk Creek),"Curtis, A.B. Orofino",Photograph of land clearing on Elk Creek.,1967,  land clearing; Elk Creek,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-04031,,color photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,676
Dworshak Dam Project 181 (Elk Creek),"Curtis, A.B. Orofino",Photograph of land clearing on Elk Creek.  Elk Creek is about an 8 mile bay or arm of the big lake.,1967,  land clearing; Elk Creek,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-04032,,color photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,677
Dworshak Dam Project 154 (land clearing),"Curtis, A.B. Orofino",Photograph of land clearing.,1966, trees; land clearing,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03839,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,648
Dworshak Dam Project 164 (project supervisor),"Curtis, A.B. Orofino","Photograph of Lt. Tom Curtis, so of A.B. Curtis, shown with Don Basgen, Dworshak dam Project Supervisor, in front of a large earth-moving machine.",1966, Tom Curtis; Don Basgen; heavy machinery; truck,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03871,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.515758,-116.298196,658
Dworshak Dam Project 122 (heavy equipment),"Curtis, A.B. Orofino",Photograph of some of the equipment being used.,1965, truck; bulldozer,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03485,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,614
Dworshak Dam Project 139 (diversion tunnel),"Curtis, A.B. Orofino","Photograph of the 'Finish Machine' in the diversion tunnel.  It is round and pushes through the tunnel to do the polish and finish work.  The tunnel is 40' in diameter.",1965,  diversion tunnel; entrance,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03704,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,632
Dworshak Dam Project 126 (diversion tunnel),"Curtis, A.B. Orofino",Photograph of the access road to the diversion tunnel.,1965,  diversion tunnel; accesss road,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03586,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,619
Dworshak Dam Project 128 (diversion tunnel),"Curtis, A.B. Orofino",Photograph of the access road to the diversion tunnel.,1965,  diversion tunnel; accesss road,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03588,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,620
Dworshak Dam Project 142 (clearing operations),"Curtis, A.B. Orofino",Photograph of the clearing operations showing the mouth of the diversion tunnel.,1965,  clearing operations; diversion tunnel,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03719,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,634
Dworshak Dam Project 143 (clearing operations),"Curtis, A.B. Orofino",Photograph of the clearing operations showing the mouth of the diversion tunnel.,1965,  clearing operations; diversion tunnel,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03720,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,635
Dworshak Dam Project 185 (clearing operations),"Curtis, A.B. Orofino",Photograph of the clearing operations.,1967,  clearing operation,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-04033,,color photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,681
Dworshak Dam Project 186 (clearing operations),"Curtis, A.B. Orofino",Photograph of the clearing operations.,1967,  clearing operation,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-04034,,color photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,682
Dworshak Dam Project 189 (clearing pool),"Curtis, A.B. Orofino","Photograph of the clearing pool area, taken May 17.",5/17/1964,  May; clearing pool,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-X0085a,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,685
Dworshak Dam Project 190 (clearing pool),"Curtis, A.B. Orofino","Photograph of the clearing pool area, taken May 17.",5/17/1964,  May; clearing pool,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-X0085b,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,686
Dworshak Dam Project 191 (clearing pool),"Curtis, A.B. Orofino","Photograph of the clearing pool area, taken May 17.",5/17/1964,  May; clearing pool,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-X0085c,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.515758,-116.298196,687
Dworshak Dam Project 192 (clearing pool),"Curtis, A.B. Orofino","Photograph of the clearing pool area, taken May 17.",5/17/1964,  May; clearing pool,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-X0085d,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,689
Dworshak Dam Project 193 (clearing pool),"Curtis, A.B. Orofino","Photograph of the clearing pool area, taken May 17.",5/17/1964,  May; clearing pool,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-X0085e,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,690
Dworshak Dam site 02,,Photograph of the Clearwater river.,5/30/1968, clearwater river,"PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",99-30-46,,color slide,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.468649,-116.239557,1129
Dworshak Dam site 06,,Photograph of the Clearwater river.,1968, clearwater river,"PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",99-R-3-11,,black and white negative,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.468649,-116.239557,1132
Dworshak Dam Project 168 (Coffer dam),"Curtis, A.B. Orofino",Photograph of the Coffer dam under construction.,1966,  Coffer dam; truck,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03875,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,663
Dworshak Dam Project 172 (coffer dam),"Curtis, A.B. Orofino",Photograph of the coffer dam.,1967,  coffer dam,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03893,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,667
Dworshak Dam Project 129 (diversion tunnel),"Curtis, A.B. Orofino","Photograph of the diversion tunnel, under construction.",1965,  diversion tunnel; construction,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03589,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,621
Dworshak Dam Project 130 (diversion tunnel),"Curtis, A.B. Orofino","Photograph of the diversion tunnel, under construction.",1965,  diversion tunnel; construction,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03590,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,622
Dworshak Dam Project 188 (diversion tunnel),"Curtis, A.B. Orofino",Photograph of the diversion tunnel.,1967, diversion tunnel; water,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-X0084,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,684
Dworshak Dam site 05,,Photograph of the Dworshak Dam.,1968, spillway,"PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",99-PX-610-01,,black and white negative,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.515758,-116.298196,1131
Dworshak Dam Project 114 (rock pit),"Curtis, A.B. Orofino","Photograph of the early work in the rock pit at the dam.  The heavy equipment doing the work are a large dump, a dozer and the big shovel.  This rock pit was opened up, granite, for fill material, the coffer dam and then the material to make concrete.",1965,  heavy equipment; dump truck; bulldozer; shovel; granite; coffer dam; concrete,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03295,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,603
Dworshak Dam Project 138 (diversion tunnel),"Curtis, A.B. Orofino",Photograph of the finished entrance to the diversion tunnel.,1965,  diversion tunnel; finish machine,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03703,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,631
Dworshak Dam Project 160 (land clearing project),"Curtis, A.B. Orofino",Photograph of the land clearing near Big Riffle on North Fork of Clearwater River.,1966, trees; land clearing; Big Riffle; Clearwater River,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03851,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,654
Dworshak Dam Project 148 (diversion tunnel),"Curtis, A.B. Orofino",Photograph of the lower end of diversion tunnel and fish trap area.,1965,  fish trap; diversion tunnel,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03725,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,641
Dworshak Dam Project 133 (diversion tunnel),"Curtis, A.B. Orofino",Photograph of the lower end of diversion tunnel.,1965,  diversion tunnel,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03680,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,626
Dworshak Dam Project 150 (diversion tunnel),"Curtis, A.B. Orofino",Photograph of the lower end of the diversion tunnel.,1965,  diversion tunnel,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03727,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,643
Dworshak Dam Project 151 (diversion tunnel),"Curtis, A.B. Orofino",Photograph of the lower end of the diversion tunnel.,1966,  diversion tunnel,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-03728,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,647
Dworshak Dam Project 194 (pool area),"Curtis, A.B. Orofino","Photograph of the pool area, taken May 17.",5/17/1964,  May; pool area,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-X0085f,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,691
Dworshak Dam Project 195 (pool area),"Curtis, A.B. Orofino","Photograph of the pool area, taken May 17.",5/17/1964,  May; pool area,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-X0085g,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,692
Dworshak Dam Project 196 (pool area),"Curtis, A.B. Orofino","Photograph of the pool area, taken May 17.",5/17/1964,  May; pool area,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-X0085h,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,693
Dworshak Dam Project 198 (pool area),"Curtis, A.B. Orofino","Photograph of the pool area, taken May 17.",5/17/1964,  May; pool area,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-X0085j,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,694
Dworshak Dam Project 197 (pool area),"Curtis, A.B. Orofino","Photograph of the pool area, taken May 17.",5/17/1964,  May; pool area,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-X0085i,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,695
