title,date,date is approximate,description,subject,source,location,latitude,longitude,subject (lcsh),format original,donor,identifier,digital collection,format,type,rights,rightsstatements,filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
Main Street Before the 1914 Fire,1915,y,"Bovill Main Street, lined with stores, before the fire of 1914.",businesses; streets,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,main street;storefronts,black and white photographs,,02-02-002,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/70,70,24.jp2,/lchsphotos/image/24.jp2,lchsphotos70
People Standing at Store Fronts on Main Street,1915,,Bovill Main Street with people standing at the entrances of the stores.,businesses; streets; men,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,main street;storefronts,black and white photographs,Becky Kellom,02-02-005,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/71,71,25.jp2,/lchsphotos/image/25.jp2,lchsphotos71
People on Bovill's Main Street,1928,y,"Bovill Main Street with people lining the street, standing in front of the stores.",businesses; streets; men; women,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,main street;storefronts,black and white photographs,Becky Kellom,02-02-006,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/72,72,26.jp2,/lchsphotos/image/26.jp2,lchsphotos72
Working Street,1928,y,"Working street in front of the school, where men are working on horses with dogs and children are crossing.",streets; men; horses; children,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,schools (buildings);work horse;roads,scrapbooks,,02-02-007,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/73,73,27.jp2,/lchsphotos/image/27.jp2,lchsphotos73
H. Schupfer and Phil Johns Raise Electric Utility Poles,1928,,"H. Schupfer and Phil Johns, part of WWP (likely Washington Water Power company), siting atop an 80-foot pole, while helping put up electric utility poles.",men; poles; log,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,utility poles;,black and white photographs,Alberta S. Schupfer (A S Turner) and H. E. Schupfer family,02-02-008,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/74,74,28.jp2,/lchsphotos/image/28.jp2,lchsphotos74
Raising Electric Utility Poles,1927,,Bovill's new power pole being raised by a Ford truck.,poles,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,utility poles;trucks,black and white photographs,A S Turner & H C Schupfer family,02-02-009,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/75,75,29.jp2,/lchsphotos/image/29.jp2,lchsphotos75
Bovill Ranch,1905,y,Meadow near west end of Pine Street with houses in the distance.,ranch houses; meadows,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.860288,-116.396611,meadows;residential structures,color photographs,,02-01-001a,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/76,76,3.jp2,/lchsphotos/image/3.jp2,lchsphotos76
Electric Utility Poles Lining the Road,1927,,A road lined with Bovill's new electric utility poles and trees.,streets; poles; trees,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,utility poles;dirt roads;trees,black and white photographs,A S Turner and H C Schupfer family,02-02-010,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/77,77,30.jp2,/lchsphotos/image/30.jp2,lchsphotos77
Stores Line Bovill's Main Street,1907,y,A view of Bovill's Main Street lined with stores.,streets; businesses,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,main street;storefronts,postcards,,02-02-012,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/78,78,31.jp2,/lchsphotos/image/31.jp2,lchsphotos78
Downtown Bovill,1907,y,"A view of downtown Bovill on Main Street, including a hotel and a block of stores.",streets; businesses,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,main street;storefronts;hotels (public accommodations),postcards,,02-02-013,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/79,79,32.jp2,/lchsphotos/image/32.jp2,lchsphotos79
Bovill's Store,1905,,"Mr. and Mrs. Bovill, their daughters, guests, and pets siting on the front porch of their store.",businesses; families,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,groups of people;storefronts;family life,black and white photographs,,02-03-001,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/80,80,33.jp2,/lchsphotos/image/33.jp2,lchsphotos80
Bovill Store,1905,y,Interior of the Bovill Store with goods stocked behind the counter.,businesses,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,stores;shelves,color photographs,,02-03-002,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/81,81,34.jp2,/lchsphotos/image/34.jp2,lchsphotos81
Electric Crew,1927,,"The Electric Utility Pole Crew working on the side of the road. Left to Right: Herman Schupfer (sitting on tailgate), Tony Eichner, Axel Burklund, Roy Wells, Fred Fonholtz",streets; poles; men,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,utility poles;roads;electricians,black and white photographs,A S Turner and H C Schupfer family,02-02-011,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/82,82,35.jp2,/lchsphotos/image/35.jp2,lchsphotos82
Women on the Porch of the Bovill Hotel,1910,y,"Women stand on the front porch of the Bovill Hotel, surrounded by trees.",businesses; hotels; trees,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,hotels (public accommodations),postcards,,02-03-003,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/83,83,36.jp2,/lchsphotos/image/36.jp2,lchsphotos83
Bovill Hotel Parlor,1910,y,Interior view of the Bovill Hotel Parlor.,hotels,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,hotels (public accommodations);parlors;hide (collagenous material),black and white photographs,,02-03-004,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/84,84,37.jp2,/lchsphotos/image/37.jp2,lchsphotos84
Chapin Cedar Yard,1910,y,"Men working in the Chapin Cedar Pole Yard, surrounded by logs.",men; poles; log,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,lumberyards (buildings or lots);logs (wood),black and white photographs,,02-03-006,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/85,85,38.jp2,/lchsphotos/image/38.jp2,lchsphotos85
Chapin Cedar Yard Fire,1910,y,Fire in the Bovill Chapin Cedar Pole Yard.,fires,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,lumberyards (buildings or lots);fires (events),black and white photographs,,02-03-007,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/86,86,39.jp2,/lchsphotos/image/39.jp2,lchsphotos86
Business Section,1914,y,A view of the business section of Bovill.,businesses; trees,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,businesses (business enterprises),black and white photographs,Mike Fritz,02-01-004,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/87,87,4.jp2,/lchsphotos/image/4.jp2,lchsphotos87
Palmer's Horse Hospital,1910,y,"People stand with horses in front of George Palmer's Horse Doctor Barn. Charlie Sanderson is man with moustache in front of door, Tillie Pelton is second from right. Bill O'Meara is on extreme right.",men; horses; doctors,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,veterinary hospitals;riding horses (animals),black and white photographs,Chester Yangle,02-03-008,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/88,88,40.jp2,/lchsphotos/image/40.jp2,lchsphotos88
View of the Bovill Hotel Parlor,1910,y,Interior view of the Bovill Hotel Parlor.,hotels,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,hotels (public accommodations);parlors;hide (collagenous material),postcards,,02-03-005,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/89,89,41.jp2,/lchsphotos/image/41.jp2,lchsphotos89
Pole Yard,1910,y,"Men pose for a picture on a machine in the pole yard. Bill Melow (operator), Fred Wallen, Wandke, Heidke, Betty Helmier.",men; logs,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,lumberyards (buildings or lots),black and white photographs,,02-03-011,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/90,90,42.jp2,/lchsphotos/image/42.jp2,lchsphotos90
Peter Johnson's Store,1910,y,Peter Johnson and his son standing outside his store.,businesses; men,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,storefronts,black and white photographs,,02-03-012,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/91,91,43.jp2,/lchsphotos/image/43.jp2,lchsphotos91
Rail Road Depot,1910,y,"People stand at the Washington, Idaho, and Montana Rail Road Depot while the train waits.",trains; railroads,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,railroad depot;trains (vehicle groupings),postcards,,02-03-013,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/92,92,44.jp2,/lchsphotos/image/44.jp2,lchsphotos92
Potlatch Co. Headquarters,1910,y,Potlatch Co. Headquarters with railroad tracks running through it and covered in logs.,railroads; log,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,railroad track scales;logs (wood);businesses (business enterprises),black and white photographs,Lee Gale,02-03-017,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/93,93,45.jp2,/lchsphotos/image/45.jp2,lchsphotos93
J.P. Harless Livery Stable,1915,,Horses pulling a carriage with a family on it outside the J.P. Harless Livery Stable.,families; horses; stables,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,horse-drawn vehicles,black and white photographs,Becky Kellom,02-03-018,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/94,94,46.jp2,/lchsphotos/image/46.jp2,lchsphotos94
Visitors at the Bovill Hotel,1915,y,A couple from Lewiston sits next to the fireplace and Dorothy and Gwen sit by the hearth in living room of the Bovill Hotel.,families; hotels,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,hotels (public accommodations);fireplaces,scrapbooks,,02-03-019,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/95,95,47.jp2,/lchsphotos/image/47.jp2,lchsphotos95
Bovill Historical Museum,1978,,Bovill's Historical Museum that is now the opera house.,history museums; buildings,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,museums (buildings);opera houses,black and white photographs,,02-03-022,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/96,96,48.jp2,/lchsphotos/image/48.jp2,lchsphotos96
First State Bank,1993,,"Bovill's first state bank, with cars parked on the street outside.",banks; buildings; cars,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,banks (buildings),black and white photographs,,02-03-023,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/97,97,49.jp2,/lchsphotos/image/49.jp2,lchsphotos97
Bovill Family,1905,y,"Bovill family pose for a family portrait with their dog in front of a cabin. Pictured: Charlotte and Hugh Bovill, Gwen and Dorothy",men; women; houses,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.860288,-116.396611,family portraits;cabins (houses),color photographs,,02-01-001b,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/98,98,5.jp2,/lchsphotos/image/5.jp2,lchsphotos98
Cars parked Outside the First State Bank,1993,,Cars parked on the street outside of Bovill's first state bank.,banks; buildings; cars,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,banks (buildings),black and white photographs,,02-03-024,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/99,99,50.jp2,/lchsphotos/image/50.jp2,lchsphotos99
Bovill Residents Riding Horses,1910,y,Two young girls riding horses outside a group of houses.,children; horses; houses,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,riding horses (animals);children (people by age group),black and white photographs,,02-03-016,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/100,100,51.jp2,/lchsphotos/image/51.jp2,lchsphotos100
Hotel Bovill,1993,,Bovill's Hotel surrounded by trees and with a little snow on the ground.,hotels; trees,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,hotels (public accommodations),black and white photographs,,02-03-025,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/101,101,52.jp2,/lchsphotos/image/52.jp2,lchsphotos101
Hospital [01],1993,,Bovill's hospital with trees surrounding it and cars parked off to the side.,hospitals; trees; cars,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,hotels (public accommodations),black and white photographs,,02-03-026,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/102,102,53.jp2,/lchsphotos/image/53.jp2,lchsphotos102
Winter View of the Opera House,1993,y,Bovill's Opera House (formerly Bovill Historical Museum) with snow on the ground around it.,opera houses; buildings,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,museums (buildings);opera houses,black and white photographs,,02-03-028,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/103,103,54.jp2,/lchsphotos/image/54.jp2,lchsphotos103
Opera House with a View of the Surrounding Landscape,1993,,Bovill's Opera House with trees in the distance.,opera houses; buildings; trees,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,museums (buildings);opera houses,black and white photographs,,02-03-029,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/104,104,55.jp2,/lchsphotos/image/55.jp2,lchsphotos104
Opera House During Winter,1993,y,Bovill's Opera House with snow on the ground around it.,opera houses; buildings,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,museums (buildings);opera houses,black and white photographs,,02-03-030,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/105,105,56.jp2,/lchsphotos/image/56.jp2,lchsphotos105
