title,creator,date,description,aes_subjects,subject,publisher,contributing_departments,series,full_series_and_number,extent,identifier,format_original,type,format,rights,rightsstatement,language,filename,oclc_number,date_created,date_modified,cdm_url,cdmid,contentdm_file_name,contentdm_file_path,objectid
Impact Of An Extension Educational Program In Home Based Business Development,"Meyer, Neil; Lyle, Corinne; Lawroski, Mary Ann",1992-07-26,Creating opportunities which provide jobs and income is a very difficult process. It is even less systematic and predictable in rural areas.,Teaching/Communication/Extension/Profession; Research Methods/ Statistical Methods,Outreach; teaching; extension; universities and colleges; methodology,"Cooperative Extension System, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 92-18,22,aees92-18,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/209,209,271.pdf,/agecon/image/271.pdf,aers210
Teaching Entrepreneurship To An Extension Audience What To Teach And How To Teach It,"Nelson, James R.; Howe, Sarah",2003-07,University of Idaho Cooperative Extension personnel (including the authors of this paper) offer an extension course called Agricultural Entrepreneurship. The text for the course is 'Tilling the Soil of Opportunity - NXLEVEL TM Guide for Agricultural Entrepreneurs 1.' The course is coordinated through the Small Business Development Centers (SBDCs) in Idaho.,Teaching/Communication/Extension/Profession,teaching; extension,"College of Agricultural and Life Sciences, University of Idaho",Department of Agricultural Economics and Rural Sociology,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 03-04,6,aees03-04,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/210,210,392.pdf,/agecon/image/392.pdf,aers211
Steep A Model For Conservation And Environmental Research,"Michalson, E. L.; Papendick, R. I.",1990-12,Soil erosion continues to be a major problem in the Pacific Northwest wheat region. Each year erosion losses amount to millions of tons of topsoil eroded from its croplands. In some cases where farmers use conventional farming practices as much as 12 bushels of top soil are eroded annually for each bushel of wheat produced.,Land Economics/Use; Agricultural and Food Policy; Farm Management; Research Methods/ Statistical Methods,soil conservation; Agricultural policy; farm land management; land management; Impact analysis,,Department of Agricultural Economics,Agricultural Economic Research Series,Agricultural Economic Research Series no. 90-13,23,aers90-13,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/211,211,345.pdf,/agecon/image/345.pdf,aers212
"Volunteer Services In A Gateway County: An Example In Valley County, Idaho","Meyer, Neil; Hines, Steve",2002-09,"Gateway community counties are those places that front on major expanses of public land, which is predominantly used by recreators.",Community/Rural/Urban Development; Land Economics/Use; Public Economics,regional development; land management; land valuation; tax,"Department of Agricultural Economics and Rural Sociology, College of Agricultural and Life Sciences, University of Idaho",Department of Agricultural Economics and Rural Sociology,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 02-10,15,aees02-10,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/212,212,230.pdf,/agecon/image/230.pdf,aers213
"Functions, Resource Allocation, And The Productivity Of The State Agricultural Experiment Station","Araji, A. A.",2001-03,"The objectives of this study were to ascertain the functions of the SAES, determine the proportion of resources allocated to each function by geographic location and political districts, and evaluate the impacts of investment in each function by location and by districts.",Research Methods/ Statistical Methods; Agricultural and Food Policy,Impact analysis; Agricultural policy,University of Idaho,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 01-03,30,aers01-03,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/213,213,76.pdf,/agecon/image/76.pdf,aers214
"Farm Estate Taxes; Philosophy, Current Policy And Economic And Social Impact Of Proposed Changes","Prigge, G. Ray",1976,"Estate taxes,which became a permanent part of the federal revenue system in 1916, were introduced by Congress to generate and regulate the direction of society.",Public Economics; Research and Development/Tech Change/Emerging Technologies; Institutional and Behavioral Economics; Risk and Uncertainty,tax; technical change; social change; expectations,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 316,18,aees316,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/214,214,258.pdf,/agecon/image/258.pdf,aers215
"The Economic Structure Of Boundary County, Idaho","Coupal, Roger; Fox, Linette; Meyer, Neil; Harp, Aaron",1996-02,The following report summarizes the result of a study of the economic structure of Boundary County.,Resource /Energy Economics and Policy; Research Methods/ Statistical Methods; Community/Rural/Urban Development,forests; natural resources; Impact analysis; statistical methods; regional economics,,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 96-03,28,aees96-03,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/215,215,80.pdf,/agecon/image/80.pdf,aers216
"A To Z Retained Ownership, Inc. 1998 Year-End Summary","University of Idaho Cooperative Extension System, College of Agriculture",1998,The primary goal of this educational program is to give cow calf producers information on how their cattle perform through the feeding and carcass phases. This report presents the results of the sixth year of the retained ownership program.,Agribusiness ; Crop Production/Industries; Farm Management; Productivity Analysis,agricultural productivity; farm planning; Includes individual crops/industries; agribusiness,"University of Idaho Cooperative Extension System, College of Agriculture",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 98-10,20,aees98-10,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/216,216,86.pdf,/agecon/image/86.pdf,aers217
Secondary Data For A Fiscal Impact Model Of Idaho Counties,"Engel, Paula M.; Cooke, Stephen C.",1992-05-19,"The public expects increased services provided by counties along with the lowest possible tax burden. County governments need accurate and complete information to improve local public finance decision making. To improve local fiscal policy talking Tom Johnson and his graduate students at Virginia Polytechnic Institute developed a micro computer based fiscal impact model. The model provides decision makers a method to simulate the impacts of various demographic, fiscal, and economic changes in the community. Researchers at the University of Idaho's Agricultural Economics and Rural Sociology are adapting the Virginia model for Idaho counties.",Research Methods/ Statistical Methods; Community/Rural/Urban Development; Public Economics,statistical methods; panel data; regional economics; public finance; models,University of Idaho College of Agriculture,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 92-05,32,aers92-05,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/217,217,378.pdf,/agecon/image/378.pdf,aers218
A Critical Review Of The Social And Economic Analyses In The 'Upper Columbia Basin Ecosystem Management Project Draft Environmental Impact Statement' Reported Presented To Governor Philip E. Batt,"Harp, Aaron J.; Rimbey, Neil R.",1997-11-03,The social and economic information and analysis contained in the Upper Columbia River Basin Draft Environmental Impact Statement (DEIS) released in May 1997 contains two major conclusions.,Research Methods/ Statistical Methods; Land Economics/Use; Community/Rural/Urban Development; Agricultural and Food Policy,Impact analysis; land management; regional economics; Agricultural policy,,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 97-08,24,aers97-08,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/218,218,282.pdf,/agecon/image/282.pdf,aers219
"A Social Profile Of Seven Communities In Custer And Lemhi Counties, Idaho","Harp, Aaron J.; Pauley, Teresa",1993,"This study was conducted under Cooperative Agreement ID-040-A-2-0006 with the Commissioners of Custer and Lemhi Counties, the Department of the Interior, Bureau of Land Management-Salmon District, and the U.S. Department of Agriculture-Salmon National Forest",Community/Rural/Urban Development; Research Methods/ Statistical Methods; Consumer/Household Economics,regional economics; methodology; regional development; income,University of Idaho College of Agriculture,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 93-13,149,aers93-13,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/219,219,97.pdf,/agecon/image/97.pdf,aers220
Marketing Problems,"Early, John O.",1980,"The problem of the level of price and income in agriculture is deep rooted. It is in part a result of excess production capacity, variability in weather conditions, and the fact that resources do not move out of agricultural production rapidly in response to price changes.",Marketing; Demand and Price Analysis,marketing; cost benefit; supply and demand; forward marketing,,Department of Agricultural Economics,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 372,5,aees372,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/220,220,295.pdf,/agecon/image/295.pdf,aers221
Year End Tax Management Workshop,"Meyer, Neil",1980,"Anyone who owns a business can benefit from income tax management. Recently, inflation, high capital requirements, wide product price fluctuations, fluctuating yields, and rising supply costs make income tax management increasingly important.",Public Economics; Teaching/Communication/Extension/Profession; Consumer/Household Economics,tax; agricultural economics; teaching; extension; income,,Department of Agricultural Economics and Applied Statistics,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 366,22,aees366,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/221,221,338.pdf,/agecon/image/338.pdf,aers222
Electricity Prices And Irrigation Development Feasibility,"Hamilton, Joel R.; Barranco, Gary S.; Walker, David J.",1978,"A methodology was developed to measure impacts of rising electricity prices on high lift irrigation development. Effects of farm size, crop prices, yields, lift heights, and distance from water source were also incorporated. Results indicate that rising electricity prices will make development infeasible in high elevation areas of southern Idaho.",Land Economics/Use; Research Methods/ Statistical Methods; Demand and Price Analysis; Farm Management,irrigation; methodology; cost benefit; farm planning,,,Agricultural Economic Research Paper,Agricultural Economic Research Paper no. 230,18,aerp230,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/222,222,120.pdf,/agecon/image/120.pdf,aers223
Commodity Planning Prices 1992 -- 1993,"Patterson, Paul E.; Gray, C. Wilson; Rimbey, Neil R.",1992-11-20,"These commodity prices are presented as a guideline to assist farmers, ranchers, lenders and others interested in agriculture. Use these as a planning tool. Local circumstances may alter the actual prices in your area.",Demand and Price Analysis; Agricultural Finance,cost benefit; prices; farm finance,"University of Idaho Cooperative Extension System, College of Agriculture",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 92-19,4,aees92-19,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/223,223,185.pdf,/agecon/image/185.pdf,aers224
Getting Paid For Your Seed,"Guenthner, Joe",1983-04-12,My talk concerns the business aspect of growing seed potatoes. The topic is one that nearly everyone in the potato industry is concerned about: getting paid.,Demand and Price Analysis; Farm Management; Agricultural Finance,cost benefit; supply and demand; decision-making; debt,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 384,9,aees384,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/224,224,379.pdf,/agecon/image/379.pdf,aers225
The Farmers' Tax Option As A Consequence Of The Teton Dam,"Prigge, G. Ray",1976,The Internal Revenue Service allows losses resulting from physical damage to property to be itemized and deducted as casualty losses - subject to a number of rules limiting its application.,Public Economics; Resource /Energy Economics and Policy; Public Economics,tax; energy resources; Water; infrastructure,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 318,8,aees318,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/225,225,5.pdf,/agecon/image/5.pdf,aers226
A Preliminary Estimate Of The Value Of Snake River Fish Runs,"Michalson, Edgar L.",1995-06,"Since 1938 anadromous fish have had to navigate past the dams on the Columbia and Snake Rivers. The U.S. Army Crops of Engineers has maintained fish ladders and counting facilities at these dams, and has provided an annual count of the numbers of fish by major species since 1938. The U.S. Army Corps of Engineers has contracted with the Washington Department of Wildlife to do fish counting. The species of fish counted and included in this study include chinook and sockeye salmon, and steelhead trout. Over the years the number of fish counted annually has varied greatly. This variation is related to a number of factors such as the cycle of spawning, river and ocean conditions, and a number of other factors which are not well understood. Among these factors is the ability of particular species to respond to changing environmental conditions. These environmental conditions include both freshwater and salt water factors . In the freshwater situation, spawning habitat, downstream and upstream fish passage, and the mainstream predation environment, and the fresh water harvest are all factors to be considered. In the salt water environment the off shore ocean fishery, El Nin'o, and predation are factors. Additionally, some mature fish return to spawn after one year (jacks), some after two years, some after 3 years, some after four years, and some after 5 years. This variability is reflected in the fish counts and appears as the peaks and valleys on the charts which follow.",Research Methods/ Statistical Methods; Demand and Price Analysis; Resource /Energy Economics and Policy,Impact analysis; cost benefit; rivers,University of Idaho College of Agriculture,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 95-05,15,aers95-05,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/226,226,351.pdf,/agecon/image/351.pdf,aers227
Measuring Economic And Environmental Impacts Of Federal Farm Policy Scenarios Using Geographic Information Systems: A Watershed Case Study,"Painter, Kathleen; Walker, David",1994-07,"The conservation compliance provisions of the 1985 Farm Bill have decreased average erosion by more than 50% in the Tom Bealle watershed of Northern Idaho, as estimated from profit-maximizing mathematical programming models and erosion predictions using Geographic Information System (GIS) data. Requiring reduced tillage in order to participate in the farm · program resulted in an average of 6. 6 tons of erosion per acre for cultivated areas in the watershed, compared to 13.5 tons without conservation compliance provisions. Interestingly, using the original mandate of requiring that farmers not exceed 'T' increased erosion to an average of 8.9 tons per acre for the watershed, as only 38% of profit-maximizing farmers would choose to participate in the farm program. Even if the maximum erosion level permitted were raised to 1.5 times 'T,' average erosion was predicted to be 8.6 tons per acre, as only 85% of farmers would participate. The use of alternative conservation systems reduced overall erosion more effectively than a strict erosion limit as farmers did not exit the farm program due to inability to reach erosion limits while maintaining profitability.",Research Methods/ Statistical Methods; Agricultural and Food Policy; Demand and Price Analysis; Land Economics/Use,Impact analysis; Agricultural policy; cost benefit; land management,University of Idaho College of Agriculture,Department of Agricultural Economics,Agricultural Economic Research Series,Agricultural Economic Research Series no. 94-07,12,aers94-07,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/227,227,174.pdf,/agecon/image/174.pdf,aers228
"A Short Run Analysis Of Interregional Competition In Fed-Beef, With Export Considerations","Marousek, Gerald; Glover, Michael K.",1984-08,"The objective was to determine least-cost allocation of fed-beef by regions and export sites, with expanded volumes available for export based on the ability of the industry to supply a larger market.",Research Methods/ Statistical Methods; Livestock Production/Industries; Demand and Price Analysis,Impact analysis; Include individual industries including milk; cost benefit,"Idaho Agricultural Experiment Station, University of Idaho",,Agricultural Economic Research Paper,Agricultural Economic Research Paper no. 8412,25,aerp8412,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/228,228,57.pdf,/agecon/image/57.pdf,aers229
A Factor Analysis Of The Perceived Performance Of Western Nursery Stock Suppliers,"Foltz, John C.; Harp, Aaron J.; Makus, Larry D.; Guenthner, Joseph F.; Tripepi, Robert R.",1992-06,"Presented as a Selected Paper for the Fourth Annual meeting of WRCC-72, Agribusiness Research Emphasizing Competitiveness, Las Vegas, NV, June 15-16, 1992.",Research Methods/ Statistical Methods; Marketing; Demand and Price Analysis,Impact analysis; marketing; cost benefit; supply and demand,University of Idaho College of Agriculture,"Department of Agricultural Economics and Rural Sociology; Department of Plant, Soil and Entomological Sciences",Agricultural Economic Research Series,Agricultural Economic Research Series no. 92-06,13,aers92-06,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/229,229,188.pdf,/agecon/image/188.pdf,aers230
1990 Census Of Population & Housing Information District III,"Harp, Aaron",1993-05,Discussion and Definitions for 1990 Census of Population & Housing,Labor and Human Capital; Consumer/Household Economics,human resources; household; family,University of idaho,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 93-07,8,aees93-07,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/230,230,222.pdf,/agecon/image/222.pdf,aers231
Economic Investment In The Food And Kindred Products Manufacturing Industries Of Idaho 1958-1971,"Long, Roger B.; Sylvester, Janet A.",1974-09,The results presented in this report are part of a detailed study of Idaho's agriculturally-based economy.,Community/Rural/Urban Development; Production Economics; Productivity Analysis,regional economics; general agricultural production; agricultural productivity,"Agricultural Experiment Station, College of Agriculture, University of Idaho",,Progress Report,Progress Report no. 184,34,aepr184,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/231,231,60.pdf,/agecon/image/60.pdf,aers232
A Stochastic Simulation Analysis Of The Effects Of Indian Wheat Production Instability On The World Wheat Market,"Devadoss, Stephen; Li, Shuangling; Jones, James",1994-08,"Adverse weather factors in India augment the instability in wheat supply and trade. Consequently, India's wheat trade is a classic example of stochastic supply being the dominant factor in determining trade flows. This study analyses the effects of random fluctuations in India's wheat supply on domestic and world price variability and trade flows of India and major exporters and importers by using stochastic simulation analysis. Production instability causes price variability of $71 per metric ton under autarky condition. However, price variability is mitigated once trade is allowed. Thus, trade acts as a buffer stock program in reducing price variability. The results show that production shortfalls (surpluses) in India benefit wheat exporters (importers) and hurt importers (exporters).",Research Methods/ Statistical Methods; Crop Production/Industries; Demand and Price Analysis; International Relations/Trade,Impact analysis; simulation; Includes individual crops/industries; supply and demand; international trade,University of Idaho College of Agriculture,Department of Agricultural Economics,Agricultural Economic Research Series,Agricultural Economic Research Series no. 94-16,27,aers94-16,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/232,232,286.pdf,/agecon/image/286.pdf,aers233
Got A Business Idea?? Being A Successful Entrepreneur - It Ain'T Easy!,"Nelson, James",2001-11-03,"An entrepreneur is a person who sees opportunity, sizes up its value and finds the resources to make the most of it. Entrepreneurs are innovators. Entrepreneurs are usually thought of as people who start businesses.",Teaching/Communication/Extension/Profession; Labor and Human Capital; Marketing,teaching; Employment; market research,"Department of Agricultural Economics and Rural Sociology, College of Agricultural and Life Sciences, University of Idaho",Department of Agricultural Economics and Rural Sociology,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 01-11,11,aees01-11,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/233,233,319.pdf,/agecon/image/319.pdf,aers234
1990 Census Of Population & Housing Information District Iv,"Harp, Aaron",1993-05,Discussion and Definitions for 1990 Census of Population & Housing,Labor and Human Capital; Consumer/Household Economics,human resources; household; family,University of idaho,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 93-08,8,aees93-08,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/234,234,170.pdf,/agecon/image/170.pdf,aers235
Farm Estate Tax Issues Raised By The 1976 Tax Reform Act,"Prigge, Ray G.",1978,Agriculture was singled out for considerable special attention in the Tax Reform Act of 1976.,Public Economics; Farm Management; Land Economics/Use; Agribusiness,tax; farm size; land valuation; agribusiness,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 341,18,aees341,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/235,235,107.pdf,/agecon/image/107.pdf,aers236
Idaho Farm Real Estate Tax Burden 1954 To 1978,"Meyer, Neil L.; Braun, Douglas D.",1983-09-08,This report shows the average real estate tax burden placed on Idaho farmers and how it has changed over the last twenty-four years.,Public Economics; Agricultural Finance; Public Economics; Research Methods/ Statistical Methods,tax; farm income; farm finance; methodology; models,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 386,44,aees386,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/236,236,56.pdf,/agecon/image/56.pdf,aers237
