objectid,identifier,title,description,creator,staff,relation,date,date is approximate,subject,location,latitude,longitude,source,type,format original,format,digital collection,contributing institution,language,rights,rightsstatement,cdm_url,cdmid,contentdm file name,contentdm file path
womenscenter235,ug71_b11_f378-029,Three women standing at an outdoor table,"Three women standing at an outdoor table advertising Sarsaparilla Ice Cream Floats for $1. All three are wearing purple and white sashes. One reads""Women's Equality,"" while another reads ""March for [blocked].""",,,,1990,yes,women's rights; ice cream; balloons (toys),"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/234,234,220.jp2,/womenscenter/image/220.jp2
womenscenter236,ug71_b11_f381-048,Recreation of Judy Chicago's The Dinner Party [09],"Photo from a recreation of Judy Chicago's The Dinner Party, held in St. Augie's. Several people sitting at tables. The room is lit by candlelight.",,,,,,candles; tablecloths; flowers (plant components),,,,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/235,235,493.jp2,/womenscenter/image/493.jp2
womenscenter237,ug71_b11_f379-006,People gathered in the Women's Center during an event,A group of people sitting in the Women's Center during an event. A table nearby is covered in food.,,,,1980,yes,food; events (activities); groups (organizations),"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/236,236,135.jp2,/womenscenter/image/135.jp2
womenscenter238,ug71_f369-2003janfeb,"Women's Center Vol. 31, No. 3 Jan-Feb 2003","The January-February 2003 issue of the Women's Center Newsletter, titled ""Women's Center Vol. 31, No. 3 Jan-Feb 2003.""",Women's Center,"Galloway, Kari; Anderson, Jill; Sly, Emily; DeFord, Cheri; LaVelle, Jennifer; VanBuggenum, Lori; Warren, Tammy",,2003-01,,monologues; art festivals; study abroad,"Memorial Gym Room 109, University of Idaho, Moscow, ID",46.726536,-117.013331,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright �� Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/237,237,285.pdf,/womenscenter/image/285.pdf
womenscenter239,ug71_f369-2001janfeb,"Women's Center Vol. 29, No. 3 Jan-Feb 2001","The January-February 2001 issue of the Women's Center Newsletter, titled ""Women's Center Vol. 29, No. 3 Jan-Feb 2001.""",Women's Center,"Harvey, Jeannie; Anderson, Jill; Russo, Valerie; Wittinger, Chaucey; Lazzarini, Don; Klein, Virginia; Jozovich, Naomi; Bailey, Marie; Sly, Emily",,2001-01,,volleyball (game); sugar; jazz,"Pine and University Avenue, Moscow, ID",46.726975,-117.010944,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/238,238,321.pdf,/womenscenter/image/321.pdf
womenscenter240,ug71_b11_f381-007b,People sitting inside the Women's Center [02],People sitting around a table filled with food and drinks in the Women's Center during a celebration.,,,,,,celebrations; food; chairs (furniture),"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/239,239,377.jp2,/womenscenter/image/377.jp2
womenscenter241,ug71_b11_f381-037c,"Women's Center 25th Anniversary, circa 1997 [13]","Susan Palmer grabbing a green pepper from a veggie platter on a table with a larger food spread. A banner affixed to the blackboard in the background reads, ""Happy Anniversary.""",,,,,,food; tables (support furniture); women,"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/240,240,397.jp2,/womenscenter/image/397.jp2
womenscenter242,ug71_b11_f382-007,Two people working outside the Women's Center building,"Two people painting the Women's Center building. One is sitting on a roof, another is standing on a ladder. There are orange and green trees in the foreground and background.",,,,1997,yes,house paints; paintbrushes; bushes,"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/241,241,361.jp2,/womenscenter/image/361.jp2
womenscenter243,ug71_b11_f381-053,Recreation of Judy Chicago's The Dinner Party [14],"Photo from a recreation of Judy Chicago's The Dinner Party, held in St. Augie's.  Several people sitting at tables holding glasses with their arms raised. The room is lit by candlelight.",,,,,,candles; tablecloths; floral patterns,,,,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/242,242,137.jp2,/womenscenter/image/137.jp2
womenscenter244,ug71_f366-1993oct,Women's Center October Programs 1993,"The October 1993 issue of the Women's Center Newsletter, titled ""Women's Center October Programs 1993.""",Women's Center,"Thomas, Betsy; Gregory-Garnett, Leslie; Bouchard, Kim; Snow, Gwen; Neurauter, Michelle; Porter, Samantha; Ryan, Mary; Twining, Amy; Womack, Julie",,1993-10,,human rights; books; violence,"Idaho and Line streets, Moscow ID",46.72785,-117.011932,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/243,243,448.pdf,/womenscenter/image/448.pdf
womenscenter245,ug71_f367-1996mar,"Women's Center Volume 24, Number 5 March 1996","The March 1996 issue of the Women's Center Newsletter, titled ""Women's Center Volume 24, Number 5 March 1996.""",Women's Center,"Thomas, Betsy; Anderson, Jill; Palmer, Susan; Russo, Valerie",,1996-03,,obituaries; morality; adolescents,"Idaho and Line streets, Moscow ID",46.72785,-117.011932,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/244,244,159.pdf,/womenscenter/image/159.pdf
womenscenter247,ug71_b11_f378-021,Two women sitting inside the Women's Center,Two women sitting at a table in the Women's Center. There's a carved turkey and a pile of dishes in front of them.,,,,1995,,food; women; offices (work spaces),"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/246,246,324.jp2,/womenscenter/image/324.jp2
womenscenter248,ug71_f366-1995mar,Women's Center March 1995,"The March 1995 issue of the Women's Center Newsletter, titled ""Women's Center March 1995.""",Women's Center,"Thomas, Betsy; Hartwell-Beal, Pam; Bouchard, Kimberley; Snow, Gwen; Lee, Adrian; Moore, Lisa; Johnson, Lori",,1995-03,,scholarships; anthropologists; convents (groups),"Idaho and Line streets, Moscow ID",46.72785,-117.011932,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/247,247,288.pdf,/womenscenter/image/288.pdf
womenscenter249,ug71_b11_f380-003,Woman sitting on the edge of a couch,A woman sitting on the edge of a couch in the Women's Center. Another person can be seen on the left.,,,,1970,yes,women; couches (reclining furniture); coats (garments),"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/248,248,489.jp2,/womenscenter/image/489.jp2
womenscenter250,ug71_b11_f380-007,Handmade ornament in the shape of a heart,A handmade ornament with a photograph of a young child in the middle.,,,,1970,yes,ornaments (object genre); hearts (motifs); children (people by age group),,,,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/249,249,8.jp2,/womenscenter/image/8.jp2
womenscenter251,ug71_f365-1990janfeb,Women's Center January/February 1990,"The January/February 1990 issue of the Women's Center Newsletter, titled ""Women's Center.""",Women's Center,"Thomas, Betsy; Kuehne, Caroline; West, Jan; Woods, Nine; Davies, Heidi; Travis, Carolyn; Moser, Juli",,1990-01,,diversity; nurses; fiddles,"Idaho and Line streets, Moscow ID",46.72785,-117.011932,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/250,250,79.pdf,/womenscenter/image/79.pdf
womenscenter252,ug71_f364-1984janfeb,Women's Center January-February Programs,"The January-February 1984 issue of the Women's Center Newsletter, titled ""Women's Center January-February Programs.""",Women's Center,"Gallagher, Alicia",,1984-01,,"cross-country skiing; trips; religions (belief systems, cultures)","Idaho and Line streets, Moscow ID",46.72785,-117.011932,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/251,251,445.pdf,/womenscenter/image/445.pdf
womenscenter254,ug71_f366-1993janfeb,Women's Center January/February Programs 1993,"The January/February 1993 issue of the Women's Center Newsletter, titled ""January/February Programs 1993.""",Women's Center,"Thomas, Betsy; McCall, Elizabeth; Snow, Gwen; Hall, Michelle; Shawish, Marianne; Turner, Heidi",,1993-01,,advocacy; television (telecommunication system); deaf,"Idaho and Line streets, Moscow ID",46.72785,-117.011932,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/253,253,88.pdf,/womenscenter/image/88.pdf
womenscenter255,ug71_b11_f381-029c,Wedding guests pose [02],A dimly lit photo of four wedding guests posing.,,,,,,dresses (garments); decorations (ornamental works); events (activities),,,,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/254,254,244.jp2,/womenscenter/image/244.jp2
womenscenter256,ug71_f366-1994mar,Women's Center March 1994,"The March 1994 issue of the Women's Center Newsletter, titled ""Women's Center.""",Women's Center,"Thomas, Betsy; Gregory-Garnett, Leslie; Bouchard, Kim; Twining, Amy; Porter, Sammantha",,1994-03,,newspapers; curriculum; lost (status of property),"Idaho and Line streets, Moscow ID",46.72785,-117.011932,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/255,255,304.pdf,/womenscenter/image/304.pdf
womenscenter257,ug71_b11_f378-026,Four women sitting on a couch in the Women's Center,"Inaugurating the brand new couch donated by Ginny Wolf. Left to right: Kay Keskinen, Betsy Thomas, Barb Yandle, Michelle Ward.",,,,1990-04,,couches (reclining furniture); women; furniture,"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/256,256,189.jp2,/womenscenter/image/189.jp2
womenscenter258,ug71_f368-1999mar,"Women's Center Vol. 27, No. 5 March 1999","The March 1999 issue of the Women's Center Newsletter, titled ""Women's Center Vol. 27, No. 5 March 1999.""",Women's Center,"Anderson, Jill; Lu S. Freano, Mary; Russo, Valerie; Lazzarini, Don; Ivie, Jodi",,1999-03,,postage stamps; scrapbooks; patriarchy,"East of Commons Construction, Moscow, ID",46.727411,-117.011823,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/257,257,269.pdf,/womenscenter/image/269.pdf
womenscenter259,ug71_b11_f381-009d,People sitting and eating food in the Women's Center [03],People sitting in the Women's Center eating food. Some people stand in the foreground.,,,,,,food; events (activities); books,"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/258,258,177.jp2,/womenscenter/image/177.jp2
womenscenter260,ug71_f364-1983oct,Women's Center October 1983 Programs,"The October 1983 issue of the Women's Center Newsletter, titled ""Women's Center October 1983 Programs.""",Women's Center,"Gallagher, Alicia",,1983-10,,marriage (social construct); politics; authors,"Idaho and Line streets, Moscow ID",46.72785,-117.011932,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/259,259,463.pdf,/womenscenter/image/463.pdf
womenscenter261,ug71_b11_f379-012,Two people talk in the Women's Center,Left to right: Unidentified woman and Alayne standing in the Women's Center. They appear to be talking.,,,,1980,yes,women; posters; beverages,"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/260,260,95.jp2,/womenscenter/image/95.jp2
womenscenter262,ug71_f367-1997augsep,"Women's Center Vol. 26, No. 1 August-September 1997","The August-September 1997 issue of the Women's Center Newsletter, titled ""Women's Center Vol. 26, No. 1 August-September 1997.""",Women's Center,"Anderson, Jill; Palmer, Susan; Russo, Valerie",,1997-08,,equality (philosophical concept); hospices (terminal care); anniversaries,"Idaho and Line streets, Moscow ID",46.72785,-117.011932,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/261,261,3.pdf,/womenscenter/image/3.pdf
womenscenter263,ug71_b11_f378-002,Women's Center Palousafest Booth [02],"Lindy Wellyn and Andrea Lloyd at the Women's Center table at Palousafest. There is an American flag, soccer ball, basketball, and box of Wheaties on the table in front of them.",,,,1990,yes,basketballs (balls); cereals; flags,University of Idaho,46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/262,262,92.jp2,/womenscenter/image/92.jp2
womenscenter265,ug71_b11_f381-030c,Wedding scene [03],"A group of people standing near each other. The event appears to be a wedding, with bridesmaids on the left and groomsmen on the right, and the bride and groom in the center. The bride and groom appear to be embracing.",,,,,,decorations (ornamental works); weddings (ceremonies); brides; bridegrooms,,,,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/264,264,296.jp2,/womenscenter/image/296.jp2
womenscenter266,ug71_b11_f382-031a,Fun Run [26],A man running towards the finish line.,,,,1997,yes,running (physical activity); men; races (events),"Campus Walkway, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/265,265,371.jp2,/womenscenter/image/371.jp2
womenscenter267,ug71_b11_f383-009,"Zinser Inauguration, April 6, 1990 [09]",Scene during Elisabeth Zinser's inauguration. Zinser was the first female president of the University of Idaho. A man and a woman (possibly Zinser) stand at the podium as people in regalia on both the stage and in the audience look on.,,,,1990,yes,academic ceremonies; academic gown; audiences,University of Idaho,46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/266,266,70.jp2,/womenscenter/image/70.jp2
womenscenter268,ug71_b11_f385-006,Woman holding a box,"Jeannie Harvey makes a face at the camera while holding a box. There are boxes behind her and another woman in the background. Women's Center relocation from the Old Journalism Building to the Theatre Annex, Summer 2000.",,,ug71_b11_f381-002.jpg,2000-05,yes,boxes (containers); women; stickers,"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,slide,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/267,267,236.jp2,/womenscenter/image/236.jp2
womenscenter269,ug71_b11_f381-034c,"Women's Center 25th Anniversary, circa 1997 [04]","Susan Palmer holding a glass of water near a table with a blue display. Kay Keskinen stands behind her, while someone wearing a magenta sweater can be seen sitting on the couch in the background.",,,,,,glassware; women; tables (support furniture),"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/268,268,27.jp2,/womenscenter/image/27.jp2
womenscenter270,ug71_f364-1987janfeb,Women's Center January/February Programs 1987,"The January/February 1987 issue of the Women's Center Newsletter, titled ""Women's Center January/February Programs 1987.""",Women's Center,"Thomas, Betsy; Caster, Carolyn; Carlson, Cindy; Bressette, Vicki; Folk, Susan; Scannell, Serra",,1987-01,,magazines (periodicals); legislation (governmental function); violence,"Idaho and Line streets, Moscow ID",46.72785,-117.011932,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/269,269,271.pdf,/womenscenter/image/271.pdf
