title,creator,publisher,date,date is approximate,description,subject,collection,contributing institution,publisher digital,source,listing code,identifier,format original,type,format,digitization specifications,rights,rightsstatement,language,metadata cataloger,metadata assistants,scanner technician,scanner assistants,collection administrator,filename,oclc number,date created,date modified,reference url,cdm-id,contentdm file name,contentdm file path,object-id
Helen Merrill,,,1965,y,10 x 8 inch photograph; Helen Merrill (2 duplicates),"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 14",IJC002IV,LF.IV.0183,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668240823,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/427,427,428.jpg,/lfc/image/428.jpg,lfc427
Helen Merrill,,,1965,y,10 x 8 inch photograph; Helen Merrill singing,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 14",IJC002IV,LF.IV.0184,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668240288,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/428,428,429.jpg,/lfc/image/429.jpg,lfc428
Marian Montgomery,Capitol Records Photographic Studio,,1965,y,10 x 8 inch photograph; Marian Montgomery,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 14",IJC002IV,LF.IV.0185,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668240770,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/429,429,430.jpg,/lfc/image/430.jpg,lfc429
Marian Montgomery,Capitol Records Photographic Studio,,1965,y,10 x 8 inch photograph; Marian Montgomery,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 14",IJC002IV,LF.IV.0186,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668239901,2008-07-22,2014-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/430,430,431.jpg,/lfc/image/431.jpg,lfc430
Sergio Mendes,,,1980,y,8 x 10 inch photograph; Sergio Mendes,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 15",IJC002IV,LF.IV.0187,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668240772,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/431,431,432.jpg,/lfc/image/432.jpg,lfc431
Sergio Mendes,,,1980,y,10 x 8 inch photograph; Sergio Mendes,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 15",IJC002IV,LF.IV.0188,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668240432,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/432,432,433.jpg,/lfc/image/433.jpg,lfc432
Jack Millman,,,1960,y,10 x 8 inch photograph; Jack Millman,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 15",IJC002IV,LF.IV.0189,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668239735,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/433,433,434.jpg,/lfc/image/434.jpg,lfc433
Billy Moore,Gorm Valentin (Denmark),,1980,y,7 x 9 1/2 inch photograph; Billy Moore,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 15",IJC002IV,LF.IV.0190,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668240021,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/434,434,435.jpg,/lfc/image/435.jpg,lfc434
Billy Moore,Gorm Valentin (Denmark),,1980,y,9 1/2 x 7 inch photograph; Billy Moore,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 15",IJC002IV,LF.IV.0191,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668240043,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/435,435,436.jpg,/lfc/image/436.jpg,lfc435
Billy Moore,Gorm Valentin (Denmark),,1980,y,9 1/2 x 7 inch photograph; Billy Moore. This photograph is published in Leonard Feather's book The Jazz Years: Earwitness to an era,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 15",IJC002IV,LF.IV.0192,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668240761,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/436,436,437.jpg,/lfc/image/437.jpg,lfc436
Marilyn Moore,,,1981-07,,"5 x 3 1/2 inch photograph; Marilyn Moore. Handwritten on the back of the photograph: Marilyn Moore; Radio emission show, Paris, France; 1981-07","Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 16",IJC002IV,LF.IV.0193,Color photograph,Image;StillImage,image/jpg,"600 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668240055,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/437,437,438.jpg,/lfc/image/438.jpg,lfc437
Marilyn Moore,"PoPsie, New York",,1970,y,10 x 8 inch photograph; Marilyn Moore,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 16",IJC002IV,LF.IV.0194,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668239971,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/438,438,439.jpg,/lfc/image/439.jpg,lfc438
Marilyn Moore,"PoPsie, New York",,1970,y,10 x 8 inch photograph; Marilyn Moore,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 16",IJC002IV,LF.IV.0195,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668240061,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/439,439,440.jpg,/lfc/image/440.jpg,lfc439
Marilyn Moore,,,1975,y,10 x 8 inch photograph; Marilyn Moore (2 duplicates),"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 16",IJC002IV,LF.IV.0196,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668240321,2008-07-22,2014-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/440,440,441.jpg,/lfc/image/441.jpg,lfc440
Marilyn Moore,,,1975,y,10 x 8 inch photograph; Marilyn Moore,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 16",IJC002IV,LF.IV.0197,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668240816,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/441,441,442.jpg,/lfc/image/442.jpg,lfc441
Marilyn Moore,,,1975,y,10 x 8 inch photograph; Marilyn Moore,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 16",IJC002IV,LF.IV.0198,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668240033,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/442,442,443.jpg,/lfc/image/443.jpg,lfc442
Alphonse Mouzon,Randi W. Hultin,,1980,y,6 x 4 1/2 inch photograph; Alphonse Mouzon,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 17",IJC002IV,LF.IV.0199,Black & white photograph,Image;StillImage,image/jpg,"600 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668240794,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/443,443,444.jpg,/lfc/image/444.jpg,lfc443
Alphonse Mouzon,,United Artists Records,1980,y,10 x 8 inch photograph; Alphonse Mouzon,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 17",IJC002IV,LF.IV.0200,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668240284,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/444,444,445.jpg,/lfc/image/445.jpg,lfc444
Murray MacEachern,,"Willard Alexander, Artists Management",1975,y,"10 x 8 inch photograph; Murray MacEachern playing the trombone. Inscription at the bottom of the photograph reads: The Tommy Dorsey Orchestra, directed by Murray McEachern","Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 17",IJC002IV,LF.IV.0201,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668239982,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/445,445,446.jpg,/lfc/image/446.jpg,lfc445
Paul Motian,,ECM Records,1975,y,7 3/4 x 9 1/4 inch photograph; Paul Motian,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 17",IJC002IV,LF.IV.0202,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668240416,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/446,446,447.jpg,/lfc/image/447.jpg,lfc446
Aminata Moseka,,,1980,y,10 x 8 inch photograph; Aminata Moseka,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 17",IJC002IV,LF.IV.0203,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668239896,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/447,447,448.jpg,/lfc/image/448.jpg,lfc447
Sam Most,,Xanadu Records,1980,y,10 x 8 inch photograph; Sam Most,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 17",IJC002IV,LF.IV.0204,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668240738,2008-07-22,2014-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/448,448,449.jpg,/lfc/image/449.jpg,lfc448
Frank Morgan,Wes McCoy,,1970,y,10 x 8 inch photograph; Frank Morgan,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 17",IJC002IV,LF.IV.0205,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668239933,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/449,449,450.jpg,/lfc/image/450.jpg,lfc449
Buddy Montgomery,,Impulse,1980,y,10 x 8 inch photograph; Buddy Montgomery,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 17",IJC002IV,LF.IV.0206,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668240393,2008-07-22,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/450,450,451.jpg,/lfc/image/451.jpg,lfc450
Maria Muldaur,,,1980,y,10 x 8 inch photograph; Maria Muldaur,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 18",IJC002IV,LF.IV.0207,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668239931,2008-07-22,2014-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/451,451,452.jpg,/lfc/image/452.jpg,lfc451
Jelly Roll Morton,"Bloom, Chicago",,1941,y,10 x 8 inch photograph; Jelly Roll Morton,"Feather, Leonard G.--Archives",Leonard Feather Jazz Collection,International Jazz Collections,University of Idaho Library,"MG 02, Box 58, Folder 18",IJC002IV,LF.IV.0208,Black & white photograph,Image;StillImage,image/jpg,"300 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast (EpsonIT8) (vers. 6.6.0r1), Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,"Kevin Dobbins, Deborah Green, Nicholas Grove",Kevin Dobbins,Nicholas Grove,Deborah Green and Nathan Bender,,668240443,2008-07-22,2018-02-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/452,452,453.jpg,/lfc/image/453.jpg,lfc452
