title,description,date,date is approximate,subject,campus event,campus organization,latitude,longitude,donor,publisher-digital,source,identifier,rights,rightsstatement,format-original,type,format,language,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
Idaho vs. Gonzaga Football Game [02],"Photograph of the University of Idaho versus Gonzaga football game. Caption reads 'Gonzaga-0, Idaho-13, Kinny Gets Away for Much Yardage.'",1923,,football (sports); teams; students; athletes,Athletics,Football,46.726285,-117.020531,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,115-036,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5.75x3.5 black and white print,image;stillimage,image/jpg,eng,2017-11-20,2017-11-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/977,977,978.jp2,/pg2/image/978.jp2,pg2977
Idaho vs. Gonzaga Football Game [03],"Photograph of the University of Idaho versus Gonzaga football game. Caption reads 'Gonzaga-0, Idaho-13, How Idaho Got Her Second Touchdown.'",1923,,football (sports); teams; students; athletes,Athletics,Football,46.726299,-117.020479,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,115-037,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5.75x3.5 black and white print,image;stillimage,image/jpg,eng,2017-11-20,2017-11-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/978,978,979.jp2,/pg2/image/979.jp2,pg2978
Idaho vs. Gonzaga Football Game [04],"Photograph of the University of Idaho versus Gonzaga football game. Caption reads 'Gonzaga-0, Idaho-13, 'Get That Guy!!''",1923,,football (sports); teams; students; athletes,Athletics,Football,46.726315,-117.020518,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,115-038,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5.75x3.5 black and white print,image;stillimage,image/jpg,eng,2017-11-20,2017-11-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/979,979,980.jp2,/pg2/image/980.jp2,pg2979
Idaho vs. Gonzaga Football Game [05],"Photograph of the University of Idaho versus Gonzaga football game. Caption reads 'Gonzaga-0, Idaho-13, Another Point.'",1923,,football (sports); teams; students; athletes,Athletics,Football,46.726320,-117.020487,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,115-039,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,6.75x4.25 black and white print,image;stillimage,image/jpg,eng,2017-11-20,2017-11-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/980,980,981.jp2,/pg2/image/981.jp2,pg2980
Idaho vs. Montana Football game [01],Photograph of the University of Idaho versus Montana football game. Caption reads 'Idaho-40 ~Montana Receives~ Montana-0.',1923,,football (sports); teams; students; athletes,Athletics,Football,46.726339,-117.020457,,University of Idaho Library Digital Initiatives Department,PG 2 University of Idaho Student Organizations Collection,115-040,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5.75x3.5 black and white print,image;stillimage,image/jpg,eng,2017-11-20,2017-11-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/981,981,982.jp2,/pg2/image/982.jp2,pg2981
"Doug Whidden, wing back","Wing back for the University of Idaho, Doug Whidden, kneeling while looking off into the distance.",1967,,football (sports); ball game equipment,Athletics,Football,46.727321,-117.01557,University of Idaho. Athletics Department.,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-314,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2017-12-05,2017-12-05,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1062,1062,1063.jp2,/pg2/image/1063.jp2,pg21062
"Mike Wiscombe, running back [01]","Mike Wiscombe, a running back for the University of Idaho, running with the ball.",1969,,football (sports); ball game equipment,Athletics,Football,46.727269,-117.015606,University of Idaho. Athletics Department.,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-316,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2017-12-05,2017-12-05,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1063,1063,1064.jp2,/pg2/image/1064.jp2,pg21063
"Jim Wickboldt, defensive back","Jim Wickboldt, a defensive back for the University of Idaho, holding a football.",1967,,football (sports); ball game equipment,Athletics,Football,46.726566,-117.015974,University of Idaho. Athletics Department.,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-311b,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2017-12-05,2017-12-05,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1064,1064,1065.jp2,/pg2/image/1065.jp2,pg21064
Freshman football team,A group photo of the Vandal freshman football team wearing their white jerseys in front of the goal post.,1968-10-01,,football (sports); team; group of people,Athletics,Football,46.727233,-117.015848,University of Idaho. Athletics Department.,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-319a,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white film negative,image;stillimage,image/jpg,eng,2017-12-05,2017-12-05,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1065,1065,1066.jp2,/pg2/image/1066.jp2,pg21065
"Freshman football team, angled",An angled group photo of the Vandal freshman football team wearing their white jerseys in front of the goal post.,1968-10-01,,football (sports); team; group of people,Athletics,Football,46.727145,-117.015431,University of Idaho. Athletics Department.,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-319b,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white film negative,image;stillimage,image/jpg,eng,2017-12-05,2017-12-05,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1066,1066,1067.jp2,/pg2/image/1067.jp2,pg21066
Freshman Merlin Powell,"Merlin Powell, a freshman on the University of Idaho football team, standing on the field with a ball.",1951,,football (sports); football fields,Athletics,Football,46.726517,-117.017435,Hodgin's Photography Studio,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-1114,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,2.75x4.5 black and white print,image;stillimage,image/jpg,eng,2017-12-05,2017-12-05,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1147,1147,1148.jp2,/pg2/image/1148.jp2,pg21147
Freshman Roger Randolph,"Roger Randolph, a freshman on the University of Idaho football team, kneeling on the field.",1951,,football (sports); football fields,Athletics,Football,46.726517,-117.017562,Hodgin's Photography Studio,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-1115,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,2.75x4.5 black and white print,image;stillimage,image/jpg,eng,2017-12-05,2017-12-05,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1148,1148,1149.jp2,/pg2/image/1149.jp2,pg21148
Darrell Surber running,"Freshman football player, Darrell Surber (#37), running towards the camera with a football on the University of Idaho field.",1951,,football (sports); portrait,Athletics,Football,46.725962,-117.018183,Hodgin's Photography Studio,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-1116a,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2017-12-05,2017-12-05,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1149,1149,1150.jp2,/pg2/image/1150.jp2,pg21149
Don Wisdom running,"Don Wisdom (#54), a freshman football player for the University of Idaho, running with a football.",1951,,football (sports); portrait,Athletics,Football,46.726576,-117.018074,Hodgin's Photography Studio,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-1118b,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2017-12-05,2017-12-05,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1150,1150,1151.jp2,/pg2/image/1151.jp2,pg21150
Aldred Ames crouching,University of Idaho football player Aldred Ames crouching on the field.,1951,,football (sports); portrait,Athletics,Football,46.72658,-117.017889,Hodgin's Photography Studio,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-1125,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white film negative,image;stillimage,image/jpg,eng,2017-12-05,2017-12-05,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1151,1151,1152.jp2,/pg2/image/1152.jp2,pg21151
Vandal clock,Four man stand together as they hold a clock engraved with Joe Vandal.,1965,yes,football (sports); clock; group of people,Athletics,Football,46.726485,-117.013763,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-1250,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2017-12-05,2017-12-05,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1242,1242,1243.jp2,/pg2/image/1243.jp2,pg21242
U of I football team,A group portrait of 16 members of the Vandal football team at the University of Idaho.,1918,yes,football (sports); group of people; team; portrait,Athletics,Football,46.725596,-117.013015,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-1213,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2017-12-05,2017-12-05,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1243,1243,1244.jp2,/pg2/image/1244.jp2,pg21243
Running coach,A coach runs next to his players as girls holding flags look on.,1965,yes,coaches (people); football field; football (sports),Athletics,Football,46.726081,-117.017749,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-1251,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2017-12-05,2017-12-05,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1244,1244,1245.jp2,/pg2/image/1245.jp2,pg21244
Pointing coach,A Vandal football coach points onto the field and four players listen and observe.,1965,yes,football (sports); football field; coaches (people); team,Athletics,Football,46.726081,-117.017817,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-1252,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2017-12-05,2017-12-05,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1245,1245,1246.jp2,/pg2/image/1246.jp2,pg21245
Individual awards,A very happy football player holds two trophies he was awarded as two older males stand next to him.,1965,yes,football (sports); awards,Athletics,Football,46.726465,-117.013666,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,115-1249,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2017-12-05,2017-12-05,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1246,1246,1247.jp2,/pg2/image/1247.jp2,pg21246
President Ernest W. Hartung at Hartung Rally [01],U of I President Ernest W. Hartung at Hartung Rally speaking at the Hartung rally.,1969-03-17,,students; faculty; rallies,Academics,Hartung Rally,46.723782,-117.014485,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",216-15,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5x4 black and white print,image;stillimage,image/jpg,eng,2018-02-02,2018-02-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1337,1337,1338.jp2,/pg2/image/1338.jp2,pg21337
President Ernest W. Hartung at Hartung Rally [02],U of I President Ernest W. Hartung talking to the crowd at the Hartung rally.,1969-03-17,,students; faculty; rallies,Academics,Hartung Rally,46.723829,-117.014462,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",216-16,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5x4 black and white print,image;stillimage,image/jpg,eng,2018-02-02,2018-02-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1338,1338,1339.jp2,/pg2/image/1339.jp2,pg21338
Mrs. Ernest W. (Mary) Hartung at Hartung Rally,Mrs. Ernest W. (Mary) Hartung waving to the crowd at the Hartung rally.,1969-03-17,,students; faculty; rallies,Academics,Hartung Rally,46.723751,-117.014425,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",216-17,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5x4 black and white print,image;stillimage,image/jpg,eng,2018-02-02,2018-02-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1339,1339,1340.jp2,/pg2/image/1340.jp2,pg21339
U of I President Ernest W Hartung and Mrs (Mary) Hartung at Hartung Rally [01],U of I President Ernest W. Hartung and Mrs. (Mary) Hartung standing with the crowd at the Hartung rally.,1969-03-17,,students; faculty; rallies,Academics,Hartung Rally,46.723827,-117.014434,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",216-18,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5x4 black and white print,image;stillimage,image/jpg,eng,2018-02-02,2018-02-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1340,1340,1341.jp2,/pg2/image/1341.jp2,pg21340
NDEA summer institute in Geography [01],"Donning hard hats and lights for descent into the heart of the Coeur d'Alene mining district, Gordon Miner attaches a battery-powered light to his wife's helmet.",1965,,geography; mining; students; faculty,Academics,NDEA Summer Institute in Geography,47.472162,-115.775450,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",217-01,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8x10 black and white print,image;stillimage,image/jpg,eng,2018-02-02,2018-02-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1341,1341,1342.jp2,/pg2/image/1342.jp2,pg21341
The big line at the all campus barbecue,"Line of students waiting for food at the all campus barbecue, located in the old arboretum.",1965,yes,barbeque grills; students; events; campuses,Academics,All Campus Barbecue,46.725025,-117.012563,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",175-03,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2018-03-14,2018-03-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1432,1432,1433.jp2,/pg2/image/1433.jp2,pg21432
All campus barbecue in the Old Arboretum [03],"Students sit and eat together at the all campus barbecue, located in the arboretum.",1965,yes,barbeque grills; students; events; campuses,Academics,All Campus Barbecue,46.725127,-117.015475,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",175-07,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2018-03-14,2018-03-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1433,1433,1434.jp2,/pg2/image/1434.jp2,pg21433
Food line at the all campus barbecue [01],Students in line for food at the all campus barbecue in the old arboretum.,1965,yes,barbeque grills; students; events; campuses,Academics,All Campus Barbecue,46.724688,-117.014367,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",175-08,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2018-03-14,2018-03-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1434,1434,1435.jp2,/pg2/image/1435.jp2,pg21434
Food line at the all campus barbecue [02],Students lined up and receiving food at the all campus barbecue located in the old arboretum.,1965,yes,barbeque grills; students; events; campuses,Academics,All Campus Barbecue,46.724592,-117.01457,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",175-09,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2018-03-14,2018-03-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1435,1435,1436.jp2,/pg2/image/1436.jp2,pg21435
"Eric B. Kirkland, organizer of all campus barbecue, with President Ernest Hartung and wife","Eric B. Kirkland, organizer of the all campus barbecue, speaks with University of Idaho President Hartung and his wife in the old arboretum.",1965,yes,barbeque grills; students; events; campuses,Academics,All Campus Barbecue,46.72502,-117.015491,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",175-11,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2018-03-14,2018-03-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1436,1436,1437.jp2,/pg2/image/1437.jp2,pg21436
President Donald R. Theophilus and Cora Theophilus welcoming guests to faculty reception [03],President Donald R. Theophilus and Cora Theophilus greet guests at the faculty reception.,1960,,faculty clubs; receptions,Academics,Faculty Reception,46.728274,-117.007094,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",171-09,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2018-03-16,2018-03-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1527,1527,1528.jp2,/pg2/image/1528.jp2,pg21527
Group photo of Phi Epsilon Kappa,Phi Epsilon Kappa members pose for a photo together.,1960,,fraternities; group photo,Academics,Faculty Reception,46.727258,-117.012760,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",172-01,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2018-03-16,2018-03-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1528,1528,1529.jp2,/pg2/image/1529.jp2,pg21528
Group photo of Sigma Tau [01],"Sigma Tau members pose for a group photo. Individuals identified as listed, left to right, front to back. Simga Tau is the National Honorary Engineering fraternity.",1960,,fraternities; group photo,Greek Life,Sigma Tau,46.725741,-117.011077,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",173-01,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2018-03-16,2018-03-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1529,1529,1530.jp2,/pg2/image/1530.jp2,pg21529
Group photo of Sigma Tau [02],Sigma Tau members stand for a group photo at their annual formal event. Simga Tau is the National Honorary Engineering fraternity.,1935,,fraternities; group photo,Greek Life,Sigma Tau,46.726453,-117.012204,"Hodgins, Gerald",University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",173-02,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,image;stillimage,image/jpg,eng,2018-03-16,2018-03-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1530,1530,1531.jp2,/pg2/image/1531.jp2,pg21530
Freshman women's tea [01],Women gather in the foyer of the Student Union Building before the Freshman women's tea.,1960,,students; women; tea services,Academics,Freshman Women's Tea,46.728928,-117.007279,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",174-01,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2018-03-16,2018-03-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1531,1531,1532.jp2,/pg2/image/1532.jp2,pg21531
Outstanding Seniors [03],"outstanding seniors, named at May Fete, pose for a group photo. Individuals identified as listed. Row 1: Marcia Ann Studebaker, Deanna Sue Solomon, Nancy Grubb Nelson, Carol Dianne Hussa, Janice Sennett Craig, Barbara Suter Henriksen, President D.R. Theophilus. Row 2: Robert Leeroy Cameron, John Irvin Sackett, Frederick George Fancher, Charles Russell Kozak, James Lee Johnston, Richard Norman Jennings, James Ralph Fields, Larry Bruce Grimes, Gerald Walden Hyettig, and Larry Allen Kirkland.",1965,yes,students; awards,Academics,Awards,46.725540,-117.010997,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",148-67,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2018-04-11,2018-04-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1622,1622,1623.jp2,/pg2/image/1623.jp2,pg21622
American Society for Metals awards and honors,University of Idaho student Carlan William Silha receives a scholarship from American Society for Metals from Dr. Earl Cook.,1963,yes,students; awards,Academics,Awards,46.728624,-117.007387,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",148-68,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2018-04-11,2018-04-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1623,1623,1624.jp2,/pg2/image/1624.jp2,pg21623
$500 scholarship from General Electric Company,"University of Idaho student Allen Stubberud shows his $500 scholarship from General Electric Company. Individuals identified from left to right: Professor J. Hugo Johnson, J.B. Holmes, Professor H.E. Hattrup, Stubberud, Glen W. Wimer, and Dean Allen S. Janssen.",1955,yes,students; awards,Academics,Awards,46.725746,-117.011088,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",148-69,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2018-04-11,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1624,1624,1625.jp2,/pg2/image/1625.jp2,pg21624
