title,description,creator,recipient,point of origin,date,date is approximate,subject,relation,latitude,longitude,digital collection,contributing institution,source,identifier,rights,rightsstatement,format original,type,digital format,language,file name,OCLC number,date created,date modified,reference URL,cdmid,CONTENTdm file name,CONTENTdm file path,objectid
Freight Train Weaving Through Mountains,"A photograph of a freight train weaving through the mountaineous Idaho forests. The picture is taken from quite high atop a hill or mountain, almost from a bird's eye view.","Cash, Earl",,,1958-09-01,,freight trains;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F15_001,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/287,287,5.jp2,/riegger/image/5.jp2,riegger287
Train Motor By Lumber Mill,A photograph of a stationary train engine located near Craig Mountain Lumber Co. Mill.,"Hastings, Phil",,,1951-05-28,,freight trains;,,46.239238,-116.623082,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F19_019,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/288,288,458.jp2,/riegger/image/458.jp2,riegger288
First Passenger Train Into Grangeville,"The first passenger train into Grangeville, Idaho, December 3, 1908.","Rikerd, Maynard",,,1908-12-03,,freight trains; railroads (infrastructure);,,46.42308,-116.959126,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F26_004,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/289,289,351.jp2,/riegger/image/351.jp2,riegger289
Rand McNally Map of Washington [1],An enlargement of the lower southeast quadrant of a Rand McNally map of Washington.,"Riegger, Hal",,United States; Washington;,,,historical maps; location maps;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F06_003,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,image;stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/290,290,501.jp2,/riegger/image/501.jp2,riegger290
NP&I Engine 4 Near Caboose,"NP&I Engine 4 being taken to Lewiston, located near the caboose of the train line.","Nixon, Ron",,,1951-05-22,,freight trains; railroads (infrastructure);,,46.404798,-116.804848,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F25_027,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/291,291,435.jp2,/riegger/image/435.jp2,riegger291
"Letter from Hal Riegger to Everett Popham, November 05, 1984","Correspondence between Hal Riegger and Everett Popham regarding the history of Camas Prairie, specifically the railroads in and around Ayer to Riparia. This document also includes a map of the area in question.","Riegger, Hal","Popham, Everett",United States; Washington; Asotin County; Clarkston;,1984-11-05,,freight trains; letters (correspondence);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F01_041,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Text,Text,application/pdf,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/292,292,174.pdf,/riegger/image/174.pdf,riegger292
U.P. 248 Engine Stuck In The Snow [1],A photograph of Union Pacific Engine 248 stuck in its place on the tracks near Grangeville because of the immense amounts of snow. There are several workers in the photograph that are working to dig the train out.,"Meckstroth, Wally",,,1957,yes,freight trains; railroads (infrastructure);,,45.926713,-116.121637,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F23_001,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/293,293,57.jp2,/riegger/image/57.jp2,riegger293
"Landscape View of Headquarters, Idaho",A photograph of a landscape view of Headquarters before the logging operation was integrated there.,Gruber,,,1926-08-27,,construction (assembling); freight trains; railroads (infrastructure);,,46.642283,-115.804161,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F18_017,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/294,294,188.jp2,/riegger/image/188.jp2,riegger294
Great Northern Railroad Map [1],A scan of a map of the Great Northern Railroad in Oregon and Washington.,"Riegger, Hal",,United States; Washington; Oregon;,,,historical maps; location maps;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F06_006,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,image;stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/295,295,222.jp2,/riegger/image/222.jp2,riegger295
Freight Train Going Over a Bridge,A color photograpgh of a freight train going over a bridge in a snowy wooded area.,Don Wayt,,,,,freight trains; railroads; trees; roads (infrastructure);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F34_023,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/296,296,450.jp2,/riegger/image/450.jp2,riegger296
Bill Clem Interview Transcript [1],Transcript from Hal Riegger's interview with retired trainmaster Bill Clem.,,,,1983,yes,railroads;interviews;transcripts;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F37_005,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Transcipt,text,application/pdf,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/297,297,60.pdf,/riegger/image/60.pdf,riegger297
Passenger Locomotive 2714 and B-12 Locomotive B-12,"Passenger locomotive No. 2714 pictured with B-21 railway post office locomotive just outside of Lewistion, Idaho with people and carts.",Will Whittaker,,,1951-05-27,,passenger trains; locomotives; railroads; railway post offices; electrical posts; carts;,,46.40024797,-117.0015567,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F32_006,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/298,298,286.jp2,/riegger/image/286.jp2,riegger298
#733 on the Camas Prairie Railroad,"Engine #733 on the Camas Prairie railroad around Kooskia, Idaho.",Everett Watson,,,1900,yes,passenger trains; locomotives; railroads; engineers;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F31_001,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/299,299,319.jp2,/riegger/image/319.jp2,riegger299
Kamiah Bridge,"A photograph of a damaged railroad leading up to Kamiah Bridge in Kamiah, Idaho.","Cash, Earl",,,1905-04-12,,freight trains; railroads (infrastructure);,,46.22694,-116.029859,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_028,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/300,300,447.jp2,/riegger/image/447.jp2,riegger300
Heisler #2 Carrying Lumber,Craig Mountain Railroad Co.'s Heisler Engine #2 carrying a freight of lumber.,"Rikerd, Maynard",,,1905-05-25,yes,freight trains; railroads (infrastructure);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F26_008,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/301,301,170.jp2,/riegger/image/170.jp2,riegger301
Train Engines Are Worked On At Depot,"A photograph of train engine #4922 and train engine #1098 being examined and worked on in the train yard, while a third engine (#1506) prepares to carry freight to Grangeville.","Hastings, Phil",,,1950-10-03,,freight trains;,,46.40035,-117.004475,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F19_005,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/302,302,453.jp2,/riegger/image/453.jp2,riegger302
"Letter from Al Butler to Hal Riegger, December 9, 1983","Correspondence between Al Butler and Hal Riegger, discussing more descriptions of pictures in an attempt to finish work before Christmas.","Butler, Al","Riegger, Hal",United States; Idaho;,1983-12-09,,freight trains; letters (correspondence);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F01_011,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Text,Text,application/pdf,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/303,303,446.pdf,/riegger/image/446.pdf,riegger303
Toppled Train Engine [1],"A photograph of a toppled, partly submerged train engine being raised out of the water using construction machinery. Captured in the background is a group of several people watching the process happen.","Cash, Earl",,,1931,yes,construction (assembling); freight trains; railroads (infrastructure);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_008,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/304,304,420.jp2,/riegger/image/420.jp2,riegger304
Pile Driving On Bridge 66 [2],A photograph of pile driving occurring on bridge 66 of the Camas Prairie Railroad. Four unidentified men stand atop the railroad scaffolding.,"Cash, Earl",,,1905-04-08,,construction (assembling); freight trains; railroads (infrastructure);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_011,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/305,305,107.jp2,/riegger/image/107.jp2,riegger305
NP #2 In Train Yards,"Northern Pacific Decapod Engine No. 2, stationary at a train yard. Northern Pacific had only two Decapods; they were the largest engines in the world when built by Baldwin in 1886 for service over the Cascades before completion of the Stampede tunnel. Originally numbered 500 and 501, they were renumbered to 1 and 2 in 1896. Both were assigned to the Camas Prairie for many years before the 1 was scrapped. The 2 ended its career switching at Hoquiam and Aberdeen, Washington.","Nixon, Ron",,,1905-03-10,,freight trains; railroads (infrastructure);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F25_039,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/306,306,56.jp2,/riegger/image/56.jp2,riegger306
Train Engine 652,"A photograph of Train Engine no. 652, sold at Big Folk and International Railroad.","Nixon, Ron",,,1905-03-18,,freight trains; railroads (infrastructure);,,46.632302,-117.80148,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F25_006,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/307,307,383.jp2,/riegger/image/383.jp2,riegger307
Logging Camp with Crane,Logging camp with what appears to be a logging crane behind it,Winchester Museum,,,1945,yes,logging camps; cranes; trees;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F33_013,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/308,308,309.jp2,/riegger/image/309.jp2,riegger308
Logging Camp,Logging camp in the 1940's pictured with a locomotive in the background.,Winchester Museum,,,1945,yes,logging camps; locomotives; smokestacks;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F33_012a,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/309,309,325.jp2,/riegger/image/325.jp2,riegger309
Passenger Locomotive 2213 and B-12 Locomotive,"Northern Pacific passenger locomotive pictured with B-12 railway post office locomotive stopped at a train station in Lewiston, Idaho.",Will Whittaker,,,1949-08-18,,passenger trains; locomotives; railroads; railway post offices; train station; cars; electrical posts;,,46.40024797,-117.0015567,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F32_004,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/310,310,218.jp2,/riegger/image/218.jp2,riegger310
Wreck At Lewiston Yards [2],A photograph of Train Engine 2211 wrecking at the Lewiston Yards. It is documented that no one was hurt from the crash.,"Cash, Earl",,,1905-05-04,,freight trains; railroads (infrastructure);,,46.400485,-117.00087,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_059,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/311,311,11.jp2,/riegger/image/11.jp2,riegger311
Track Profile Map [2],A track profile map from the Lapwai branch of the Northern Pacific Railroad showing the Spalding to Grangeville line.,,,,,,maps;railroads;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F36_002,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Map,Image;StillImage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/312,312,67.jp2,/riegger/image/67.jp2,riegger312
U.P. 246 Engine In the Train Yard,A photograph of Union Pacific train engine 246 headed into a train yard.,"Sullivan, Todd",,,1976,yes,freight trains;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F14_030,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/313,313,430.jp2,/riegger/image/430.jp2,riegger313
"Letter from R.M. Hinebaugh to Ron, October 15, 1982","Correspondence from R.M. Hinebaugh to Ron Nixon on October 15, 1982 regarding the history of train and engine purchase for the Craig Mountain Railroad.","Hinebaugh, R.M.","Nixon, Ron",United States; Wisconsin; Waukesha County; North Lake,1982-10-15,,freight trains; letters (correspondence);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F01_003,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Text,Text,application/pdf,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/314,314,500.pdf,/riegger/image/500.pdf,riegger314
"Letter from Patrick W. Stafford to Hal Riegger, December 11, 1984","A letter from Patrick W. Stafford to Hal Riegger regarding the railroad bridge across the Snake River at Riparia, Washington.","Stafford, Patrick W.","Riegger, Hal",United States; Wisconsin; St. Croix County; River Falls,1984-12-11,,letters (correspondence);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F06_020,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Text,Text,application/pdf,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/315,315,72.pdf,/riegger/image/72.pdf,riegger315
Building Bridge 38,"A photograph of the construction of Bridge 38, located between Craigmont and Ferdinand. The photographs shows workers assembling the log scaffolding that holds the bridge up.","Cash, Earl",,,1905-04-06,,freight trains; railroads (infrastructure);,,46.151777,-116.390602,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_001,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/316,316,140.jp2,/riegger/image/140.jp2,riegger316
Union Pacific Railroad Hinkle-Spokane Main Line Relocation Map,"A map of the planned construction and relocation of the Hinkle-Spokane Main Line, created and funded by Union Pacific Railroad.",Union Pacific Railroad,,United States; Washington; Spokane County; Spokane;,1965-03-04,,historical maps; location maps; line-route maps;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F06_029,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,image;stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/317,317,240.jp2,/riegger/image/240.jp2,riegger317
Engine NP&I no. 4 On Exhibition,Mr. Radford readying the bell for engine no. 4 to be on display and open to the public for admiration. The whistle was removed after each showing to prevent further theivery.,"Nixon, Ron",,,1905-05-05,yes,freight trains; railroads (infrastructure);,,46.550866,-116.929038,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F25_030,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/318,318,118.jp2,/riegger/image/118.jp2,riegger318
Two Box Cars Behind Engines,"A photograph of two 40-ft box cars dwarfing the three G.E. diesel units enroute to Craigmont, Idaho on the Nez Perce Railroad. Through the shallow valley the light rails carry the bountiful wheat harvest of the rich Camas Prairie region.","Brovald, Ken","Riegger, Hal",,1973,,freight trains;,,"46.242196,",-116.472788,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F11_005,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/319,319,217.jp2,/riegger/image/217.jp2,riegger319
Railroad Construction,A photograph of several construction workers building the beginnings of a railroad.,Gruber,,,1905-04-10,yes,construction (assembling); freight trains; railroads (infrastructure);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F18_013,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/320,320,326.jp2,/riegger/image/326.jp2,riegger320
"The Minnetonka In Pasco, Washington","The Minnetonka at Pasco, WA. The Minnetonka was the first Northern Pacific engine. It worked west from Lake Superior building the Norther Pacific. It was shipped by foot and helped build from Ralama to Tacoma. When the trackes were laid from Ausworth to Spokane it was used in construction. Before the tracks arrived in Spokane the little engine was removed from this service.","Rikerd, Maynard",,,1905-05-25,yes,freight trains; railroads (infrastructure);,,46.244561,-119.175648,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F26_010,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/321,321,413.jp2,/riegger/image/413.jp2,riegger321
Camas Prairie Railroad Police Badge,"A Camas Prairie Railroad Police Badge, with the words 'NT & UP Lines' along the bottom.","Parent, Clyde",,,1905-06-06,,freight trains; railroads (infrastructure);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F26_003,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/322,322,268.jp2,/riegger/image/268.jp2,riegger322
Freight Train,A color photograpgh of a freight train going around a bend in the woods.,Don Wayt,,,,,freight trains; railroads; trees;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F34_016,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/323,323,440.jp2,/riegger/image/440.jp2,riegger323
Description of Train Engines,"A small document describing specific circumstances and conditions of three specific train engines that operated in Headquarters, Idaho, in working relationship with Potlatch Forests, Inc.",,"Riegger, Hal",United States; Idaho;  Clearwater County; Headquarters;,1905-06-06,yes,freight trains; letters (correspondence);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F01_038,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Text,Text,application/pdf,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/324,324,178.pdf,/riegger/image/178.pdf,riegger324
Herb Banks Cutting A Groove,A photograph of Herb Banks cutting a groove into the rail of the roundhouse track after they tried to jump engine 4 over it and it wouldn't jump.,"Nixon, Ron",,,1905-05-04,yes,freight trains; railroads (infrastructure);,,46.242196,-116.472788,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F25_019,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/325,325,439.jp2,/riegger/image/439.jp2,riegger325
Large Train Crash Stops Railroad Movement [1],"A photograph of the wreckage of M.P. Train 2.5 near Lapwai, costing $5500 in damages. There are several people in the photograph that appear untouched by the crash.",,,,1975-12-02,,color photographs; freight trains;,,46.405064,-116.805835,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F14_006,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/326,326,214.jp2,/riegger/image/214.jp2,riegger326
